,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,repeat
1, the,0,1,2.551027297973633,False,1,1,3,1,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,1,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,1,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,1,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,1,repeat
6, down,0,6,4.396554946899414,False,1,1,3,1,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,1,repeat
8, following,0,8,4.053033351898193,False,1,1,3,1,repeat
9, list,0,9,4.172577381134033,False,1,1,3,1,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,1,repeat
11, words,0,11,6.043724060058594,False,1,1,3,1,repeat
12,:,0,12,1.203829288482666,True,1,1,3,1,repeat
13, window,1,0,13.060759544372559,False,1,1,3,1,repeat
14,",",1,1,1.051327109336853,True,1,1,3,1,repeat
15, door,1,2,3.611264705657959,False,1,1,3,1,repeat
16,",",1,3,0.1557670384645462,True,1,1,3,1,repeat
17, roof,1,4,5.822896957397461,False,1,1,3,1,repeat
18,.,1,5,3.0585453510284424,True,1,1,3,1,repeat
19,After,2,0,11.253669738769531,False,1,1,3,1,repeat
20, a,2,1,3.2670741081237793,False,1,1,3,1,repeat
21, break,2,2,5.331823825836182,False,1,1,3,1,repeat
22,",",2,3,0.4718695282936096,True,1,1,3,1,repeat
23, a,2,4,4.389591693878174,False,1,1,3,1,repeat
24, cup,2,5,7.337444305419922,False,1,1,3,1,repeat
25, and,2,6,4.990392208099365,False,1,1,3,1,repeat
26, coffee,2,7,4.189229965209961,False,1,1,3,1,repeat
27, of,2,8,5.451608657836914,False,1,1,3,1,repeat
28, had,2,9,11.440135955810547,False,1,1,3,1,repeat
29, she,2,10,5.393868446350098,False,1,1,3,1,repeat
30, the,2,11,6.720015048980713,False,1,1,3,1,repeat
31, took,2,12,10.712778091430664,False,1,1,3,1,repeat
32, meeting,2,13,10.077325820922852,False,1,1,3,1,repeat
33,.,2,14,1.7111748456954956,True,1,1,3,1,repeat
34, When,2,15,4.722095489501953,False,1,1,3,1,repeat
35, she,2,16,1.1984542608261108,False,1,1,3,1,repeat
36, got,2,17,2.9373342990875244,False,1,1,3,1,repeat
37, back,2,18,1.7088472843170166,False,1,1,3,1,repeat
38,",",2,19,1.3641810417175293,True,1,1,3,1,repeat
39, she,2,20,0.6669477224349976,False,1,1,3,1,repeat
40, read,2,21,4.4280853271484375,False,1,1,3,1,repeat
41, the,2,22,1.3629703521728516,False,1,1,3,1,repeat
42, list,2,23,1.630159616470337,False,1,1,3,1,repeat
43, again,2,24,2.193127155303955,False,1,1,3,1,repeat
44,:,2,25,2.8224990367889404,True,1,1,3,1,repeat
45, window,3,0,2.2214338779449463,False,1,1,3,1,repeat
46,",",3,1,0.06528026610612869,True,1,1,3,1,repeat
47, door,3,2,0.19511078298091888,False,1,1,3,1,repeat
48,",",3,3,0.05778695270419121,True,1,1,3,1,repeat
49, roof,3,4,0.3152484893798828,False,1,1,3,1,repeat
50,.,3,5,0.34997570514678955,True,1,1,3,1,repeat
0,Before,0,0,nan,False,1,1,3,2,repeat
1, the,0,1,2.551027297973633,False,1,1,3,2,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,2,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,2,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,2,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,2,repeat
6, down,0,6,4.396554946899414,False,1,1,3,2,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,2,repeat
8, following,0,8,4.053033351898193,False,1,1,3,2,repeat
9, list,0,9,4.172577381134033,False,1,1,3,2,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,2,repeat
11, words,0,11,6.043724060058594,False,1,1,3,2,repeat
12,:,0,12,1.203829288482666,True,1,1,3,2,repeat
13, leg,1,0,12.7829008102417,False,1,1,3,2,repeat
14,",",1,1,1.8445065021514893,True,1,1,3,2,repeat
15, arms,1,2,6.552859306335449,False,1,1,3,2,repeat
16,",",1,3,0.1053922101855278,True,1,1,3,2,repeat
17, head,1,4,4.0981879234313965,False,1,1,3,2,repeat
18,.,1,5,3.6828744411468506,True,1,1,3,2,repeat
19,After,2,0,10.958422660827637,False,1,1,3,2,repeat
20, a,2,1,3.3117895126342773,False,1,1,3,2,repeat
21, break,2,2,5.132150650024414,False,1,1,3,2,repeat
22,",",2,3,0.3381282687187195,True,1,1,3,2,repeat
23, a,2,4,4.520906925201416,False,1,1,3,2,repeat
24, cup,2,5,6.997337341308594,False,1,1,3,2,repeat
25, and,2,6,4.329157829284668,False,1,1,3,2,repeat
26, coffee,2,7,4.056349754333496,False,1,1,3,2,repeat
27, of,2,8,5.518922805786133,False,1,1,3,2,repeat
28, had,2,9,11.458517074584961,False,1,1,3,2,repeat
29, she,2,10,5.914432525634766,False,1,1,3,2,repeat
30, the,2,11,6.849858283996582,False,1,1,3,2,repeat
31, took,2,12,10.3299560546875,False,1,1,3,2,repeat
32, meeting,2,13,10.193452835083008,False,1,1,3,2,repeat
33,.,2,14,1.57541024684906,True,1,1,3,2,repeat
34, When,2,15,4.7611083984375,False,1,1,3,2,repeat
35, she,2,16,1.2422608137130737,False,1,1,3,2,repeat
36, got,2,17,2.9524574279785156,False,1,1,3,2,repeat
37, back,2,18,1.7462760210037231,False,1,1,3,2,repeat
38,",",2,19,1.3649208545684814,True,1,1,3,2,repeat
39, she,2,20,0.7194981575012207,False,1,1,3,2,repeat
40, read,2,21,4.355489730834961,False,1,1,3,2,repeat
41, the,2,22,1.4009474515914917,False,1,1,3,2,repeat
42, list,2,23,1.6694746017456055,False,1,1,3,2,repeat
43, again,2,24,2.3282437324523926,False,1,1,3,2,repeat
44,:,2,25,2.9530274868011475,True,1,1,3,2,repeat
45, leg,3,0,2.1891589164733887,False,1,1,3,2,repeat
46,",",3,1,0.07929529994726181,True,1,1,3,2,repeat
47, arms,3,2,0.6385691165924072,False,1,1,3,2,repeat
48,",",3,3,0.027467185631394386,True,1,1,3,2,repeat
49, head,3,4,0.14020021259784698,False,1,1,3,2,repeat
50,.,3,5,0.29778802394866943,True,1,1,3,2,repeat
0,Before,0,0,nan,False,1,1,3,3,repeat
1, the,0,1,2.551027297973633,False,1,1,3,3,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,3,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,3,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,3,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,3,repeat
6, down,0,6,4.396554946899414,False,1,1,3,3,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,3,repeat
8, following,0,8,4.053033351898193,False,1,1,3,3,repeat
9, list,0,9,4.172577381134033,False,1,1,3,3,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,3,repeat
11, words,0,11,6.043724060058594,False,1,1,3,3,repeat
12,:,0,12,1.203829288482666,True,1,1,3,3,repeat
13, sail,1,0,13.602953910827637,False,1,1,3,3,repeat
14,boat,1,1,3.4578168392181396,False,1,1,3,3,repeat
15,",",1,2,0.6844990849494934,True,1,1,3,3,repeat
16, destroyer,1,3,7.475897789001465,False,1,1,3,3,repeat
17,",",1,4,0.08493225276470184,True,1,1,3,3,repeat
18, battles,1,5,5.575667858123779,False,1,1,3,3,repeat
19,hip,1,6,0.0017610769718885422,False,1,1,3,3,repeat
20,.,1,7,3.2532472610473633,True,1,1,3,3,repeat
21,After,2,0,10.810928344726562,False,1,1,3,3,repeat
22, a,2,1,3.2694106101989746,False,1,1,3,3,repeat
23, break,2,2,5.080262660980225,False,1,1,3,3,repeat
24,",",2,3,0.5761865973472595,True,1,1,3,3,repeat
25, a,2,4,4.172174453735352,False,1,1,3,3,repeat
