,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,1,repeat
2, the,0,2,2.472673177719116,False,1,1,3,1,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,1,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,1,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,1,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,1,repeat
7, down,0,7,4.496498107910156,False,1,1,3,1,repeat
8, the,0,8,1.237207055091858,False,1,1,3,1,repeat
9, following,0,9,4.111498832702637,False,1,1,3,1,repeat
10, list,0,10,4.367360591888428,False,1,1,3,1,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,1,repeat
12, words,0,12,5.889763355255127,False,1,1,3,1,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,1,repeat
14, apple,1,0,11.403657913208008,False,1,1,3,1,repeat
15,",",1,1,0.9844114780426025,True,1,1,3,1,repeat
16, spirit,1,2,8.773529052734375,False,1,1,3,1,repeat
17,",",1,3,0.3046078085899353,True,1,1,3,1,repeat
18, music,1,4,6.850928783416748,False,1,1,3,1,repeat
19,.,1,5,3.346791982650757,True,1,1,3,1,repeat
20,There,2,0,10.789997100830078,False,1,1,3,1,repeat
21, is,2,1,2.287491798400879,False,1,1,3,1,repeat
22, a,2,2,1.631437063217163,False,1,1,3,1,repeat
23, voice,2,3,8.041036605834961,False,1,1,3,1,repeat
24, in,2,4,1.210606575012207,False,1,1,3,1,repeat
25, the,2,5,1.472736120223999,False,1,1,3,1,repeat
26, waters,2,6,8.036181449890137,False,1,1,3,1,repeat
27, of,2,7,2.1654937267303467,False,1,1,3,1,repeat
28, the,2,8,1.1795291900634766,False,1,1,3,1,repeat
29, great,2,9,6.659727573394775,False,1,1,3,1,repeat
30, sea,2,10,2.4240877628326416,False,1,1,3,1,repeat
31,.,2,11,1.679887294769287,True,1,1,3,1,repeat
32, It,2,12,2.429342269897461,False,1,1,3,1,repeat
33, calls,2,13,3.556771755218506,False,1,1,3,1,repeat
34, to,2,14,2.6140730381011963,False,1,1,3,1,repeat
35, man,2,15,7.168944358825684,False,1,1,3,1,repeat
36, continually,2,16,9.461160659790039,False,1,1,3,1,repeat
37,.,2,17,2.0531961917877197,True,1,1,3,1,repeat
38, When,2,18,4.1921281814575195,False,1,1,3,1,repeat
39, she,2,19,6.03865909576416,False,1,1,3,1,repeat
40, got,2,20,7.2071123123168945,False,1,1,3,1,repeat
41, back,2,21,3.526793956756592,False,1,1,3,1,repeat
42,",",2,22,1.823377251625061,True,1,1,3,1,repeat
43, she,2,23,0.9937899708747864,False,1,1,3,1,repeat
44, read,2,24,4.713914394378662,False,1,1,3,1,repeat
45, the,2,25,1.5510704517364502,False,1,1,3,1,repeat
46, list,2,26,2.8523290157318115,False,1,1,3,1,repeat
47, again,2,27,3.1858620643615723,False,1,1,3,1,repeat
48,:,2,28,2.538266181945801,True,1,1,3,1,repeat
49, apple,3,0,2.3065571784973145,False,1,1,3,1,repeat
50,",",3,1,0.10138299316167831,True,1,1,3,1,repeat
51, spirit,3,2,0.40921926498413086,False,1,1,3,1,repeat
52,",",3,3,0.052777260541915894,True,1,1,3,1,repeat
53, music,3,4,0.3704730272293091,False,1,1,3,1,repeat
54,.,3,5,0.26524320244789124,True,1,1,3,1,repeat
55, ,3,6,7.637138366699219,False,1,1,3,1,repeat
56,<|endoftext|>,3,7,7.871861457824707,False,1,1,3,1,repeat
0,<|endoftext|>,0,0,nan,False,1,1,3,2,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,2,repeat
2, the,0,2,2.472673177719116,False,1,1,3,2,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,2,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,2,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,2,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,2,repeat
7, down,0,7,4.496498107910156,False,1,1,3,2,repeat
8, the,0,8,1.237207055091858,False,1,1,3,2,repeat
9, following,0,9,4.111498832702637,False,1,1,3,2,repeat
10, list,0,10,4.367360591888428,False,1,1,3,2,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,2,repeat
12, words,0,12,5.889763355255127,False,1,1,3,2,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,2,repeat
14, forest,1,0,12.703496932983398,False,1,1,3,2,repeat
15,",",1,1,0.6536688208580017,True,1,1,3,2,repeat
16, ste,1,2,7.6681060791015625,False,1,1,3,2,repeat
17,amer,1,3,4.2089643478393555,False,1,1,3,2,repeat
18,",",1,4,0.08106701821088791,True,1,1,3,2,repeat
19, mixture,1,5,11.795127868652344,False,1,1,3,2,repeat
20,.,1,6,4.5869855880737305,True,1,1,3,2,repeat
21,There,2,0,11.134336471557617,False,1,1,3,2,repeat
22, is,2,1,2.1706573963165283,False,1,1,3,2,repeat
23, a,2,2,1.6122366189956665,False,1,1,3,2,repeat
24, voice,2,3,8.676338195800781,False,1,1,3,2,repeat
25, in,2,4,1.1608093976974487,False,1,1,3,2,repeat
26, the,2,5,1.518868088722229,False,1,1,3,2,repeat
27, waters,2,6,7.078695774078369,False,1,1,3,2,repeat
28, of,2,7,2.4379475116729736,False,1,1,3,2,repeat
29, the,2,8,1.1194871664047241,False,1,1,3,2,repeat
30, great,2,9,6.359773635864258,False,1,1,3,2,repeat
31, sea,2,10,2.8801655769348145,False,1,1,3,2,repeat
32,.,2,11,1.9059157371520996,True,1,1,3,2,repeat
33, It,2,12,2.312835216522217,False,1,1,3,2,repeat
34, calls,2,13,3.4219908714294434,False,1,1,3,2,repeat
35, to,2,14,2.4802496433258057,False,1,1,3,2,repeat
36, man,2,15,7.012177467346191,False,1,1,3,2,repeat
37, continually,2,16,9.827162742614746,False,1,1,3,2,repeat
38,.,2,17,2.052902936935425,True,1,1,3,2,repeat
39, When,2,18,4.278611660003662,False,1,1,3,2,repeat
40, she,2,19,6.056711196899414,False,1,1,3,2,repeat
41, got,2,20,7.243999004364014,False,1,1,3,2,repeat
