,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,permute
1, Before,0,1,12.528436660766602,False,1,1,3,1,permute
2, the,0,2,2.472673177719116,False,1,1,3,1,permute
3, meeting,0,3,6.759090423583984,False,1,1,3,1,permute
4,",",0,4,0.9914438128471375,True,1,1,3,1,permute
5, Mary,0,5,8.550331115722656,False,1,1,3,1,permute
6, wrote,0,6,6.019670009613037,False,1,1,3,1,permute
7, down,0,7,4.496498107910156,False,1,1,3,1,permute
8, the,0,8,1.237207055091858,False,1,1,3,1,permute
9, following,0,9,4.111498832702637,False,1,1,3,1,permute
10, list,0,10,4.367360591888428,False,1,1,3,1,permute
11, of,0,11,0.1937805414199829,False,1,1,3,1,permute
12, words,0,12,5.889763355255127,False,1,1,3,1,permute
13,:,0,13,1.3915445804595947,True,1,1,3,1,permute
14, apple,1,0,11.403657913208008,False,1,1,3,1,permute
15,",",1,1,0.9844114780426025,True,1,1,3,1,permute
16, spirit,1,2,8.773529052734375,False,1,1,3,1,permute
17,",",1,3,0.3046078085899353,True,1,1,3,1,permute
18, music,1,4,6.850928783416748,False,1,1,3,1,permute
19,.,1,5,3.346791982650757,True,1,1,3,1,permute
20,There,2,0,10.789997100830078,False,1,1,3,1,permute
21, is,2,1,2.287491798400879,False,1,1,3,1,permute
22, a,2,2,1.631437063217163,False,1,1,3,1,permute
23, voice,2,3,8.041036605834961,False,1,1,3,1,permute
24, in,2,4,1.210606575012207,False,1,1,3,1,permute
25, the,2,5,1.472736120223999,False,1,1,3,1,permute
26, waters,2,6,8.036181449890137,False,1,1,3,1,permute
27, of,2,7,2.1654937267303467,False,1,1,3,1,permute
28, the,2,8,1.1795291900634766,False,1,1,3,1,permute
29, great,2,9,6.659727573394775,False,1,1,3,1,permute
30, sea,2,10,2.4240877628326416,False,1,1,3,1,permute
31,.,2,11,1.679887294769287,True,1,1,3,1,permute
32, It,2,12,2.429342269897461,False,1,1,3,1,permute
33, calls,2,13,3.556771755218506,False,1,1,3,1,permute
34, to,2,14,2.6140730381011963,False,1,1,3,1,permute
35, man,2,15,7.168944358825684,False,1,1,3,1,permute
