,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,1,repeat
2, the,0,2,2.472673177719116,False,1,1,3,1,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,1,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,1,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,1,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,1,repeat
7, down,0,7,4.496498107910156,False,1,1,3,1,repeat
8, the,0,8,1.237207055091858,False,1,1,3,1,repeat
9, following,0,9,4.111498832702637,False,1,1,3,1,repeat
10, list,0,10,4.367360591888428,False,1,1,3,1,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,1,repeat
12, words,0,12,5.889763355255127,False,1,1,3,1,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,1,repeat
14, window,1,0,12.72612190246582,False,1,1,3,1,repeat
15,",",1,1,1.0239609479904175,True,1,1,3,1,repeat
16, door,1,2,3.5542044639587402,False,1,1,3,1,repeat
17,",",1,3,0.1567920744419098,True,1,1,3,1,repeat
18, roof,1,4,5.674071311950684,False,1,1,3,1,repeat
19,.,1,5,2.9185261726379395,True,1,1,3,1,repeat
20,After,2,0,11.177639961242676,False,1,1,3,1,repeat
21, a,2,1,3.7062034606933594,False,1,1,3,1,repeat
22, break,2,2,5.077095985412598,False,1,1,3,1,repeat
23,",",2,3,0.49193644523620605,True,1,1,3,1,repeat
24, a,2,4,4.5664215087890625,False,1,1,3,1,repeat
25, cup,2,5,6.648443222045898,False,1,1,3,1,repeat
26, and,2,6,4.938544273376465,False,1,1,3,1,repeat
27, coffee,2,7,4.1716485023498535,False,1,1,3,1,repeat
28, of,2,8,5.448563575744629,False,1,1,3,1,repeat
29, had,2,9,11.409854888916016,False,1,1,3,1,repeat
30, she,2,10,5.7336649894714355,False,1,1,3,1,repeat
31, the,2,11,7.014019966125488,False,1,1,3,1,repeat
32, took,2,12,10.89605712890625,False,1,1,3,1,repeat
33, meeting,2,13,10.279152870178223,False,1,1,3,1,repeat
34,.,2,14,1.8368723392486572,True,1,1,3,1,repeat
35, When,2,15,4.886090278625488,False,1,1,3,1,repeat
36, she,2,16,1.1311161518096924,False,1,1,3,1,repeat
37, got,2,17,2.810551881790161,False,1,1,3,1,repeat
38, back,2,18,1.7965185642242432,False,1,1,3,1,repeat
39,",",2,19,1.334677815437317,True,1,1,3,1,repeat
40, she,2,20,0.638568639755249,False,1,1,3,1,repeat
41, read,2,21,4.264057159423828,False,1,1,3,1,repeat
42, the,2,22,1.3368431329727173,False,1,1,3,1,repeat
43, list,2,23,1.4110876321792603,False,1,1,3,1,repeat
44, again,2,24,2.214016914367676,False,1,1,3,1,repeat
45,:,2,25,2.9072413444519043,True,1,1,3,1,repeat
46, window,3,0,2.3350892066955566,False,1,1,3,1,repeat
47,",",3,1,0.06376232951879501,True,1,1,3,1,repeat
48, door,3,2,0.1599835753440857,False,1,1,3,1,repeat
49,",",3,3,0.05362263321876526,True,1,1,3,1,repeat
50, roof,3,4,0.27783241868019104,False,1,1,3,1,repeat
51,.,3,5,0.30974581837654114,True,1,1,3,1,repeat
52, ,3,6,7.260177135467529,False,1,1,3,1,repeat
53,<|endoftext|>,3,7,8.062976837158203,False,1,1,3,1,repeat
0,<|endoftext|>,0,0,nan,False,1,1,3,2,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,2,repeat
2, the,0,2,2.472673177719116,False,1,1,3,2,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,2,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,2,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,2,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,2,repeat
7, down,0,7,4.496498107910156,False,1,1,3,2,repeat
8, the,0,8,1.237207055091858,False,1,1,3,2,repeat
9, following,0,9,4.111498832702637,False,1,1,3,2,repeat
10, list,0,10,4.367360591888428,False,1,1,3,2,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,2,repeat
12, words,0,12,5.889763355255127,False,1,1,3,2,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,2,repeat
14, leg,1,0,12.512502670288086,False,1,1,3,2,repeat
15,",",1,1,1.8341835737228394,True,1,1,3,2,repeat
16, arms,1,2,6.776754379272461,False,1,1,3,2,repeat
17,",",1,3,0.10339901596307755,True,1,1,3,2,repeat
18, head,1,4,4.0295867919921875,False,1,1,3,2,repeat
19,.,1,5,3.6186184883117676,True,1,1,3,2,repeat
20,After,2,0,10.791460037231445,False,1,1,3,2,repeat
21, a,2,1,3.8800506591796875,False,1,1,3,2,repeat
22, break,2,2,4.926826000213623,False,1,1,3,2,repeat
23,",",2,3,0.3396989405155182,True,1,1,3,2,repeat
24, a,2,4,4.739683628082275,False,1,1,3,2,repeat
25, cup,2,5,6.495718002319336,False,1,1,3,2,repeat
26, and,2,6,4.399703025817871,False,1,1,3,2,repeat
27, coffee,2,7,4.023502349853516,False,1,1,3,2,repeat
28, of,2,8,5.602802753448486,False,1,1,3,2,repeat
29, had,2,9,11.424285888671875,False,1,1,3,2,repeat
30, she,2,10,6.297846794128418,False,1,1,3,2,repeat
31, the,2,11,7.139316558837891,False,1,1,3,2,repeat
32, took,2,12,10.470975875854492,False,1,1,3,2,repeat
33, meeting,2,13,10.487115859985352,False,1,1,3,2,repeat
34,.,2,14,1.6634271144866943,True,1,1,3,2,repeat
35, When,2,15,4.990146636962891,False,1,1,3,2,repeat
36, she,2,16,1.1452635526657104,False,1,1,3,2,repeat
37, got,2,17,2.804098606109619,False,1,1,3,2,repeat
38, back,2,18,1.8090603351593018,False,1,1,3,2,repeat
39,",",2,19,1.3198096752166748,True,1,1,3,2,repeat
40, she,2,20,0.6670088768005371,False,1,1,3,2,repeat
41, read,2,21,4.189111709594727,False,1,1,3,2,repeat
42, the,2,22,1.3767534494400024,False,1,1,3,2,repeat
43, list,2,23,1.42086660861969,False,1,1,3,2,repeat
44, again,2,24,2.334461212158203,False,1,1,3,2,repeat
