,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,permute
1, Before,0,1,12.528436660766602,False,1,1,3,1,permute
2, the,0,2,2.472673177719116,False,1,1,3,1,permute
3, meeting,0,3,6.759090423583984,False,1,1,3,1,permute
4,",",0,4,0.9914438128471375,True,1,1,3,1,permute
5, Mary,0,5,8.550331115722656,False,1,1,3,1,permute
6, wrote,0,6,6.019670009613037,False,1,1,3,1,permute
7, down,0,7,4.496498107910156,False,1,1,3,1,permute
8, the,0,8,1.237207055091858,False,1,1,3,1,permute
9, following,0,9,4.111498832702637,False,1,1,3,1,permute
10, list,0,10,4.367360591888428,False,1,1,3,1,permute
11, of,0,11,0.1937805414199829,False,1,1,3,1,permute
12, words,0,12,5.889763355255127,False,1,1,3,1,permute
13,:,0,13,1.3915445804595947,True,1,1,3,1,permute
14, window,1,0,12.72612190246582,False,1,1,3,1,permute
15,",",1,1,1.0239609479904175,True,1,1,3,1,permute
16, door,1,2,3.5542044639587402,False,1,1,3,1,permute
17,",",1,3,0.1567920744419098,True,1,1,3,1,permute
18, roof,1,4,5.674071311950684,False,1,1,3,1,permute
19,.,1,5,2.9185261726379395,True,1,1,3,1,permute
20,After,2,0,11.177639961242676,False,1,1,3,1,permute
21, the,2,1,1.193973422050476,False,1,1,3,1,permute
22, meeting,2,2,0.12006395310163498,False,1,1,3,1,permute
23,",",2,3,0.11621768027544022,True,1,1,3,1,permute
24, she,2,4,2.2992918491363525,False,1,1,3,1,permute
25, took,2,5,3.8230113983154297,False,1,1,3,1,permute
26, a,2,6,1.5095734596252441,False,1,1,3,1,permute
27, break,2,7,2.988233804702759,False,1,1,3,1,permute
28, and,2,8,1.7156734466552734,False,1,1,3,1,permute
29, had,2,9,4.96674919128418,False,1,1,3,1,permute
30, a,2,10,0.7844552397727966,False,1,1,3,1,permute
31, cup,2,11,2.7072925567626953,False,1,1,3,1,permute
32, of,2,12,0.013467060402035713,False,1,1,3,1,permute
33, coffee,2,13,0.6002301573753357,False,1,1,3,1,permute
34,.,2,14,0.7433087229728699,True,1,1,3,1,permute
