Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : roof , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : hall , window , door . And the other : door , hall , window .
Before the meeting , Mary wrote down the following lists of words . One was : hearth , hall , window . And the other : window , hearth , hall .
Before the meeting , Mary wrote down the following lists of words . One was : basement , hearth , hall . And the other : basement , hearth , hall .
Before the meeting , Mary wrote down the following lists of words . One was : room , basement , hearth . And the other : hearth , room , basement .
Before the meeting , Mary wrote down the following lists of words . One was : ceiling , room , basement . And the other : room , basement , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : floor , ceiling , room . And the other : floor , room , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : wall , floor , ceiling . And the other : floor , ceiling , wall .
Before the meeting , Mary wrote down the following lists of words . One was : roof , wall , floor . And the other : wall , floor , roof .
Before the meeting , Mary wrote down the following lists of words . One was : door , roof , wall . And the other : door , wall , roof .
Before the meeting , Mary wrote down the following lists of words . One was : leg , arms , head . And the other : arms , head , leg .
Before the meeting , Mary wrote down the following lists of words . One was : toe , leg , arms . And the other : leg , toe , arms .
Before the meeting , Mary wrote down the following lists of words . One was : hand , toe , leg . And the other : toe , hand , leg .
Before the meeting , Mary wrote down the following lists of words . One was : ear , hand , toe . And the other : ear , toe , hand .
Before the meeting , Mary wrote down the following lists of words . One was : finger , ear , hand . And the other : finger , ear , hand .
Before the meeting , Mary wrote down the following lists of words . One was : nose , finger , ear . And the other : finger , nose , ear .
Before the meeting , Mary wrote down the following lists of words . One was : foot , nose , finger . And the other : finger , foot , nose .
Before the meeting , Mary wrote down the following lists of words . One was : eye , foot , nose . And the other : eye , nose , foot .
Before the meeting , Mary wrote down the following lists of words . One was : head , eye , foot . And the other : head , foot , eye .
Before the meeting , Mary wrote down the following lists of words . One was : arms , head , eye . And the other : eye , head , arms .
Before the meeting , Mary wrote down the following lists of words . One was : sailboat , destroyer , battleship . And the other : sailboat , battleship , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : steamship , sailboat , destroyer . And the other : sailboat , destroyer , steamship .
Before the meeting , Mary wrote down the following lists of words . One was : tugboat , steamship , sailboat . And the other : steamship , sailboat , tugboat .
Before the meeting , Mary wrote down the following lists of words . One was : freighter , tugboat , steamship . And the other : tugboat , steamship , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , freighter , tugboat . And the other : tugboat , canoe , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : yacht , canoe , freighter . And the other : canoe , yacht , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : submarine , yacht , canoe . And the other : yacht , canoe , submarine .
Before the meeting , Mary wrote down the following lists of words . One was : cruiser , submarine , yacht . And the other : submarine , yacht , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : battleship , cruiser , submarine . And the other : cruiser , submarine , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : destroyer , battleship , cruiser . And the other : battleship , destroyer , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : robin , sparrow , heron . And the other : robin , heron , sparrow .
Before the meeting , Mary wrote down the following lists of words . One was : vulture , robin , sparrow . And the other : robin , sparrow , vulture .
Before the meeting , Mary wrote down the following lists of words . One was : woodpecker , vulture , robin . And the other : woodpecker , vulture , robin .
Before the meeting , Mary wrote down the following lists of words . One was : pigeon , woodpecker , vulture . And the other : woodpecker , vulture , pigeon .
Before the meeting , Mary wrote down the following lists of words . One was : parrot , pigeon , woodpecker . And the other : pigeon , parrot , woodpecker .
Before the meeting , Mary wrote down the following lists of words . One was : hawk , parrot , pigeon . And the other : pigeon , hawk , parrot .
Before the meeting , Mary wrote down the following lists of words . One was : crow , hawk , parrot . And the other : crow , parrot , hawk .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , crow , hawk . And the other : hawk , eagle , crow .
Before the meeting , Mary wrote down the following lists of words . One was : heron , eagle , crow . And the other : heron , eagle , crow .
Before the meeting , Mary wrote down the following lists of words . One was : sparrow , heron , eagle . And the other : sparrow , eagle , heron .
Before the meeting , Mary wrote down the following lists of words . One was : apple , pear , banana . And the other : apple , pear , banana .
Before the meeting , Mary wrote down the following lists of words . One was : apricot , apple , pear . And the other : apricot , apple , pear .
Before the meeting , Mary wrote down the following lists of words . One was : lemon , apricot , apple . And the other : apple , lemon , apricot .
Before the meeting , Mary wrote down the following lists of words . One was : grapefruit , lemon , apricot . And the other : apricot , lemon , grapefruit .
Before the meeting , Mary wrote down the following lists of words . One was : plum , grapefruit , lemon . And the other : grapefruit , lemon , plum .
Before the meeting , Mary wrote down the following lists of words . One was : cherry , plum , grapefruit . And the other : cherry , plum , grapefruit .
Before the meeting , Mary wrote down the following lists of words . One was : grape , cherry , plum . And the other : plum , grape , cherry .
Before the meeting , Mary wrote down the following lists of words . One was : peach , grape , cherry . And the other : cherry , peach , grape .
Before the meeting , Mary wrote down the following lists of words . One was : banana , peach , grape . And the other : banana , peach , grape .
Before the meeting , Mary wrote down the following lists of words . One was : pear , banana , peach . And the other : banana , pear , peach .
Before the meeting , Mary wrote down the following lists of words . One was : hammer , saw , nails . And the other : hammer , saw , nails .
Before the meeting , Mary wrote down the following lists of words . One was : screws , hammer , saw . And the other : saw , hammer , screws .
Before the meeting , Mary wrote down the following lists of words . One was : drill , screws , hammer . And the other : drill , screws , hammer .
Before the meeting , Mary wrote down the following lists of words . One was : wrench , drill , screws . And the other : drill , wrench , screws .
Before the meeting , Mary wrote down the following lists of words . One was : ruler , wrench , drill . And the other : ruler , wrench , drill .
Before the meeting , Mary wrote down the following lists of words . One was : chisel , ruler , wrench . And the other : wrench , ruler , chisel .
Before the meeting , Mary wrote down the following lists of words . One was : plane , chisel , ruler . And the other : plane , ruler , chisel .
Before the meeting , Mary wrote down the following lists of words . One was : level , plane , chisel . And the other : chisel , plane , level .
Before the meeting , Mary wrote down the following lists of words . One was : nails , level , plane . And the other : level , nails , plane .
Before the meeting , Mary wrote down the following lists of words . One was : saw , nails , level . And the other : level , saw , nails .
Before the meeting , Mary wrote down the following lists of words . One was : hurricane , tornado , rain . And the other : hurricane , rain , tornado .
Before the meeting , Mary wrote down the following lists of words . One was : sunshine , hurricane , tornado . And the other : hurricane , sunshine , tornado .
Before the meeting , Mary wrote down the following lists of words . One was : clouds , sunshine , hurricane . And the other : hurricane , clouds , sunshine .
Before the meeting , Mary wrote down the following lists of words . One was : cyclone , clouds , sunshine . And the other : clouds , sunshine , cyclone .
Before the meeting , Mary wrote down the following lists of words . One was : wind , cyclone , clouds . And the other : wind , cyclone , clouds .
Before the meeting , Mary wrote down the following lists of words . One was : storm , wind , cyclone . And the other : cyclone , wind , storm .
Before the meeting , Mary wrote down the following lists of words . One was : hail , storm , wind . And the other : wind , hail , storm .
Before the meeting , Mary wrote down the following lists of words . One was : snow , hail , storm . And the other : snow , hail , storm .
