,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,permute
1, the,0,1,2.551027297973633,False,1,1,3,1,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,1,permute
3,",",0,3,0.6362646222114563,True,1,1,3,1,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,1,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,1,permute
6, down,0,6,4.396554946899414,False,1,1,3,1,permute
7, the,0,7,1.3433159589767456,False,1,1,3,1,permute
8, following,0,8,4.053033351898193,False,1,1,3,1,permute
9, list,0,9,4.172577381134033,False,1,1,3,1,permute
10, of,0,10,0.18576112389564514,False,1,1,3,1,permute
11, words,0,11,6.043724060058594,False,1,1,3,1,permute
12,:,0,12,1.203829288482666,True,1,1,3,1,permute
13, window,1,0,13.060759544372559,False,1,1,3,1,permute
14,",",1,1,1.051327109336853,True,1,1,3,1,permute
15, door,1,2,3.611264705657959,False,1,1,3,1,permute
16,",",1,3,0.1557670384645462,True,1,1,3,1,permute
17, roof,1,4,5.822896957397461,False,1,1,3,1,permute
18,.,1,5,3.0585453510284424,True,1,1,3,1,permute
19,After,2,0,11.253669738769531,False,1,1,3,1,permute
20, the,2,1,1.7528451681137085,False,1,1,3,1,permute
21, meeting,2,2,0.2998522222042084,False,1,1,3,1,permute
22,",",2,3,0.2198595255613327,True,1,1,3,1,permute
23, she,2,4,2.0622076988220215,False,1,1,3,1,permute
24, took,2,5,3.6976542472839355,False,1,1,3,1,permute
25, a,2,6,1.5800011157989502,False,1,1,3,1,permute
26, break,2,7,3.1937310695648193,False,1,1,3,1,permute
27, and,2,8,1.6881682872772217,False,1,1,3,1,permute
28, had,2,9,4.861361026763916,False,1,1,3,1,permute
29, a,2,10,0.8763276934623718,False,1,1,3,1,permute
30, cup,2,11,2.8241240978240967,False,1,1,3,1,permute
31, of,2,12,0.015571675263345242,False,1,1,3,1,permute
32, coffee,2,13,0.648223876953125,False,1,1,3,1,permute
33,.,2,14,0.8059980869293213,True,1,1,3,1,permute
34, When,2,15,3.2950658798217773,False,1,1,3,1,permute
35, she,2,16,0.6070098280906677,False,1,1,3,1,permute
36, got,2,17,2.521207332611084,False,1,1,3,1,permute
37, back,2,18,1.0124473571777344,False,1,1,3,1,permute
38,",",2,19,1.404841423034668,True,1,1,3,1,permute
39, she,2,20,0.33618131279945374,False,1,1,3,1,permute
40, read,2,21,4.488612174987793,False,1,1,3,1,permute
41, the,2,22,1.3839079141616821,False,1,1,3,1,permute
42, list,2,23,1.54546320438385,False,1,1,3,1,permute
43, again,2,24,1.6052772998809814,False,1,1,3,1,permute
44,:,2,25,2.6506521701812744,True,1,1,3,1,permute
45, roof,3,0,5.819637775421143,False,1,1,3,1,permute
46,",",3,1,0.13531050086021423,True,1,1,3,1,permute
47, window,3,2,1.0923261642456055,False,1,1,3,1,permute
48,",",3,3,0.1441955864429474,True,1,1,3,1,permute
49, door,3,4,0.6828830242156982,False,1,1,3,1,permute
50,.,3,5,1.0234253406524658,True,1,1,3,1,permute
0,Before,0,0,nan,False,1,1,3,2,permute
1, the,0,1,2.551027297973633,False,1,1,3,2,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,2,permute
3,",",0,3,0.6362646222114563,True,1,1,3,2,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,2,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,2,permute
6, down,0,6,4.396554946899414,False,1,1,3,2,permute
7, the,0,7,1.3433159589767456,False,1,1,3,2,permute
8, following,0,8,4.053033351898193,False,1,1,3,2,permute
9, list,0,9,4.172577381134033,False,1,1,3,2,permute
10, of,0,10,0.18576112389564514,False,1,1,3,2,permute
11, words,0,11,6.043724060058594,False,1,1,3,2,permute
12,:,0,12,1.203829288482666,True,1,1,3,2,permute
13, leg,1,0,12.7829008102417,False,1,1,3,2,permute
14,",",1,1,1.8445065021514893,True,1,1,3,2,permute
15, arms,1,2,6.552859306335449,False,1,1,3,2,permute
16,",",1,3,0.1053922101855278,True,1,1,3,2,permute
17, head,1,4,4.0981879234313965,False,1,1,3,2,permute
18,.,1,5,3.6828744411468506,True,1,1,3,2,permute
19,After,2,0,10.958422660827637,False,1,1,3,2,permute
20, the,2,1,1.653830647468567,False,1,1,3,2,permute
21, meeting,2,2,0.32542940974235535,False,1,1,3,2,permute
22,",",2,3,0.24115286767482758,True,1,1,3,2,permute
23, she,2,4,2.181926727294922,False,1,1,3,2,permute
24, took,2,5,3.612339973449707,False,1,1,3,2,permute
25, a,2,6,1.55972421169281,False,1,1,3,2,permute
26, break,2,7,3.268913984298706,False,1,1,3,2,permute
27, and,2,8,1.7277231216430664,False,1,1,3,2,permute
28, had,2,9,4.871987819671631,False,1,1,3,2,permute
29, a,2,10,0.893520712852478,False,1,1,3,2,permute
30, cup,2,11,2.7701220512390137,False,1,1,3,2,permute
31, of,2,12,0.020410975441336632,False,1,1,3,2,permute
