,token,trialID,positionID,subtok,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,1,control
1, Before,0,1,1,12.528407096862793,False,1,1,3,1,control
2, the,0,2,2,2.4726693630218506,False,1,1,3,1,control
3, meeting,0,3,3,6.759095191955566,False,1,1,3,1,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,1,control
5, Mary,0,5,4,8.550304412841797,False,1,1,3,1,control
6, wrote,0,6,5,6.019630432128906,False,1,1,3,1,control
7, down,0,7,6,4.496373653411865,False,1,1,3,1,control
8, the,0,8,7,1.2372602224349976,False,1,1,3,1,control
9, following,0,9,8,4.111538410186768,False,1,1,3,1,control
10, list,0,10,9,4.3674235343933105,False,1,1,3,1,control
11, of,0,11,10,0.19381344318389893,False,1,1,3,1,control
12, words,0,12,11,5.889780521392822,False,1,1,3,1,control
13,:,0,13,-1,1.3915541172027588,True,1,1,3,1,control
14, window,1,0,1,12.726151466369629,False,1,1,3,1,control
15,",",1,1,-1,1.0239530801773071,True,1,1,3,1,control
16, door,1,2,2,3.5542385578155518,False,1,1,3,1,control
17,",",1,3,-1,0.1568254977464676,True,1,1,3,1,control
18, roof,1,4,3,5.674091339111328,False,1,1,3,1,control
19,.,1,5,-1,2.918570041656494,True,1,1,3,1,control
20,There,2,0,0,11.060193061828613,False,1,1,3,1,control
21, is,2,1,1,2.391700029373169,False,1,1,3,1,control
22, a,2,2,2,1.588196873664856,False,1,1,3,1,control
23, voice,2,3,3,8.66386890411377,False,1,1,3,1,control
24, in,2,4,4,1.219748616218567,False,1,1,3,1,control
25, the,2,5,5,1.3831592798233032,False,1,1,3,1,control
26, waters,2,6,6,9.897096633911133,False,1,1,3,1,control
27, of,2,7,7,2.47064208984375,False,1,1,3,1,control
28, the,2,8,8,1.0957281589508057,False,1,1,3,1,control
29, great,2,9,9,6.458994388580322,False,1,1,3,1,control
30, sea,2,10,10,2.8741960525512695,False,1,1,3,1,control
31,.,2,11,-1,1.7038328647613525,True,1,1,3,1,control
32, It,2,12,11,2.5543136596679688,False,1,1,3,1,control
33, calls,2,13,12,3.3133163452148438,False,1,1,3,1,control
34, to,2,14,13,2.2928738594055176,False,1,1,3,1,control
35, man,2,15,14,7.327615261077881,False,1,1,3,1,control
36, continually,2,16,15,9.761185646057129,False,1,1,3,1,control
37,.,2,17,-1,2.0346665382385254,True,1,1,3,1,control
38, When,2,18,16,4.246213912963867,False,1,1,3,1,control
39, she,2,19,17,6.008328914642334,False,1,1,3,1,control
40, got,2,20,18,6.739406585693359,False,1,1,3,1,control
41, back,2,21,19,3.3692445755004883,False,1,1,3,1,control
42,",",2,22,-1,1.7156082391738892,True,1,1,3,1,control
43, she,2,23,20,1.1046535968780518,False,1,1,3,1,control
44, read,2,24,21,4.909974098205566,False,1,1,3,1,control
45, the,2,25,22,1.5328010320663452,False,1,1,3,1,control
46, list,2,26,23,3.0315489768981934,False,1,1,3,1,control
47, again,2,27,24,3.194570779800415,False,1,1,3,1,control
48,:,2,28,-1,2.2964928150177,True,1,1,3,1,control
49, cotton,3,0,1,11.51069450378418,False,1,1,3,1,control
50,",",3,1,-1,0.8127859234809875,True,1,1,3,1,control
51, wool,3,2,2,3.6314802169799805,False,1,1,3,1,control
52,",",3,3,-1,0.09224595129489899,True,1,1,3,1,control
53, silk,3,4,3,2.923553466796875,False,1,1,3,1,control
54,.,3,5,-1,1.9966245889663696,True,1,1,3,1,control
55,<|endoftext|>,3,6,-2,5.832818031311035,False,1,1,3,1,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,2,control
1, Before,0,1,1,12.528407096862793,False,1,1,3,2,control
2, the,0,2,2,2.4726693630218506,False,1,1,3,2,control
3, meeting,0,3,3,6.759095191955566,False,1,1,3,2,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,2,control
5, Mary,0,5,4,8.550304412841797,False,1,1,3,2,control
6, wrote,0,6,5,6.019630432128906,False,1,1,3,2,control
7, down,0,7,6,4.496373653411865,False,1,1,3,2,control
8, the,0,8,7,1.2372602224349976,False,1,1,3,2,control
9, following,0,9,8,4.111538410186768,False,1,1,3,2,control
10, list,0,10,9,4.3674235343933105,False,1,1,3,2,control
11, of,0,11,10,0.19381344318389893,False,1,1,3,2,control
12, words,0,12,11,5.889780521392822,False,1,1,3,2,control
13,:,0,13,-1,1.3915541172027588,True,1,1,3,2,control
14, leg,1,0,1,12.512513160705566,False,1,1,3,2,control
15,",",1,1,-1,1.834148645401001,True,1,1,3,2,control
16, arms,1,2,2,6.776742935180664,False,1,1,3,2,control
17,",",1,3,-1,0.10344083607196808,True,1,1,3,2,control
18, head,1,4,3,4.029552459716797,False,1,1,3,2,control
19,.,1,5,-1,3.6186442375183105,True,1,1,3,2,control
20,There,2,0,0,11.13784122467041,False,1,1,3,2,control
21, is,2,1,1,2.24934983253479,False,1,1,3,2,control
22, a,2,2,2,1.6927993297576904,False,1,1,3,2,control
23, voice,2,3,3,8.577574729919434,False,1,1,3,2,control
24, in,2,4,4,1.2252360582351685,False,1,1,3,2,control
25, the,2,5,5,1.5937886238098145,False,1,1,3,2,control
26, waters,2,6,6,8.927123069763184,False,1,1,3,2,control
27, of,2,7,7,2.4671168327331543,False,1,1,3,2,control
28, the,2,8,8,1.1710350513458252,False,1,1,3,2,control
29, great,2,9,9,6.3423261642456055,False,1,1,3,2,control
30, sea,2,10,10,2.2073752880096436,False,1,1,3,2,control
31,.,2,11,-1,1.8687267303466797,True,1,1,3,2,control
32, It,2,12,11,2.5142388343811035,False,1,1,3,2,control
33, calls,2,13,12,3.465754747390747,False,1,1,3,2,control
34, to,2,14,13,2.481971502304077,False,1,1,3,2,control
35, man,2,15,14,6.968041896820068,False,1,1,3,2,control
36, continually,2,16,15,9.645767211914062,False,1,1,3,2,control
37,.,2,17,-1,2.1248369216918945,True,1,1,3,2,control
38, When,2,18,16,4.239023208618164,False,1,1,3,2,control
39, she,2,19,17,6.261422157287598,False,1,1,3,2,control
40, got,2,20,18,7.086528778076172,False,1,1,3,2,control
41, back,2,21,19,3.4125266075134277,False,1,1,3,2,control
42,",",2,22,-1,1.7491105794906616,True,1,1,3,2,control
43, she,2,23,20,1.1204880475997925,False,1,1,3,2,control
44, read,2,24,21,4.901303291320801,False,1,1,3,2,control
45, the,2,25,22,1.575648307800293,False,1,1,3,2,control
46, list,2,26,23,2.996382236480713,False,1,1,3,2,control
47, again,2,27,24,3.3304104804992676,False,1,1,3,2,control
48,:,2,28,-1,2.402604579925537,True,1,1,3,2,control
49, blue,3,0,1,8.199283599853516,False,1,1,3,2,control
50,",",3,1,-1,0.773432731628418,True,1,1,3,2,control
51, red,3,2,2,2.2884621620178223,False,1,1,3,2,control
52,",",3,3,-1,0.06495031714439392,True,1,1,3,2,control
53, green,3,4,3,1.4448755979537964,False,1,1,3,2,control
54,.,3,5,-1,2.239642858505249,True,1,1,3,2,control
55,<|endoftext|>,3,6,-2,5.844244003295898,False,1,1,3,2,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,3,control
1, Before,0,1,1,12.528407096862793,False,1,1,3,3,control
2, the,0,2,2,2.4726693630218506,False,1,1,3,3,control
3, meeting,0,3,3,6.759095191955566,False,1,1,3,3,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,3,control
5, Mary,0,5,4,8.550304412841797,False,1,1,3,3,control
6, wrote,0,6,5,6.019630432128906,False,1,1,3,3,control
7, down,0,7,6,4.496373653411865,False,1,1,3,3,control
8, the,0,8,7,1.2372602224349976,False,1,1,3,3,control
9, following,0,9,8,4.111538410186768,False,1,1,3,3,control
10, list,0,10,9,4.3674235343933105,False,1,1,3,3,control
11, of,0,11,10,0.19381344318389893,False,1,1,3,3,control
12, words,0,12,11,5.889780521392822,False,1,1,3,3,control
13,:,0,13,-1,1.3915541172027588,True,1,1,3,3,control
14, sail,1,0,1,13.109341621398926,False,1,1,3,3,control
15,boat,1,1,1,3.1491873264312744,False,1,1,3,3,control
16,",",1,2,-1,0.7098559737205505,True,1,1,3,3,control
17, destroyer,1,3,2,7.337685585021973,False,1,1,3,3,control
18,",",1,4,-1,0.08284525573253632,True,1,1,3,3,control
19, battles,1,5,3,5.584854602813721,False,1,1,3,3,control
20,hip,1,6,3,0.0016945539973676205,False,1,1,3,3,control
21,.,1,7,-1,3.1345362663269043,True,1,1,3,3,control
22,There,2,0,0,10.725528717041016,False,1,1,3,3,control
23, is,2,1,1,2.1974611282348633,False,1,1,3,3,control
24, a,2,2,2,1.607017993927002,False,1,1,3,3,control
25, voice,2,3,3,9.174614906311035,False,1,1,3,3,control
26, in,2,4,4,1.1443023681640625,False,1,1,3,3,control
27, the,2,5,5,1.3459150791168213,False,1,1,3,3,control
28, waters,2,6,6,5.452593803405762,False,1,1,3,3,control
