,token,trialID,positionID,surp,ispunct,prefix,prompt,stimID,second_list
0,Before,0,0,nan,False,1,1,1,permute
1, the,0,1,2.551027297973633,False,1,1,1,permute
2, meeting,0,2,5.753713607788086,False,1,1,1,permute
3,",",0,3,0.6362646222114563,True,1,1,1,permute
4, Mary,0,4,8.620794296264648,False,1,1,1,permute
5, wrote,0,5,6.034746170043945,False,1,1,1,permute
6, down,0,6,4.396554946899414,False,1,1,1,permute
7, the,0,7,1.3433159589767456,False,1,1,1,permute
8, following,0,8,4.053033351898193,False,1,1,1,permute
9, list,0,9,4.172577381134033,False,1,1,1,permute
10, of,0,10,0.18576112389564514,False,1,1,1,permute
11, words,0,11,6.043724060058594,False,1,1,1,permute
12,:,0,12,1.203829288482666,True,1,1,1,permute
13, window,1,0,13.060759544372559,False,1,1,1,permute
14,",",1,1,1.051327109336853,True,1,1,1,permute
15, door,1,2,3.611264705657959,False,1,1,1,permute
16,",",1,3,0.1557670384645462,True,1,1,1,permute
17, roof,1,4,5.822896957397461,False,1,1,1,permute
18,.,1,5,3.0585453510284424,True,1,1,1,permute
19,After,2,0,11.253669738769531,False,1,1,1,permute
20, the,2,1,1.7528451681137085,False,1,1,1,permute
21, meeting,2,2,0.2998522222042084,False,1,1,1,permute
22,",",2,3,0.2198595255613327,True,1,1,1,permute
23, Mary,2,4,1.0060096979141235,False,1,1,1,permute
24, read,2,5,4.039097785949707,False,1,1,1,permute
25, the,2,6,1.390223503112793,False,1,1,1,permute
26, list,2,7,1.841858148574829,False,1,1,1,permute
27, again,2,8,2.5389981269836426,False,1,1,1,permute
28,:,2,9,2.2166004180908203,True,1,1,1,permute
29, roof,3,0,5.088102340698242,False,1,1,1,permute
30,",",3,1,0.12610556185245514,True,1,1,1,permute
31, window,3,2,1.1704455614089966,False,1,1,1,permute
32,",",3,3,0.13404981791973114,True,1,1,1,permute
33, door,3,4,0.6692540645599365,False,1,1,1,permute
34,.,3,5,1.134199857711792,True,1,1,1,permute
0,Before,0,0,nan,False,1,1,2,permute
1, the,0,1,2.551027297973633,False,1,1,2,permute
2, meeting,0,2,5.753713607788086,False,1,1,2,permute
3,",",0,3,0.6362646222114563,True,1,1,2,permute
4, Mary,0,4,8.620794296264648,False,1,1,2,permute
5, wrote,0,5,6.034746170043945,False,1,1,2,permute
6, down,0,6,4.396554946899414,False,1,1,2,permute
7, the,0,7,1.3433159589767456,False,1,1,2,permute
8, following,0,8,4.053033351898193,False,1,1,2,permute
9, list,0,9,4.172577381134033,False,1,1,2,permute
10, of,0,10,0.18576112389564514,False,1,1,2,permute
11, words,0,11,6.043724060058594,False,1,1,2,permute
12,:,0,12,1.203829288482666,True,1,1,2,permute
13, leg,1,0,12.7829008102417,False,1,1,2,permute
14,",",1,1,1.8445065021514893,True,1,1,2,permute
15, arms,1,2,6.552859306335449,False,1,1,2,permute
16,",",1,3,0.1053922101855278,True,1,1,2,permute
17, head,1,4,4.0981879234313965,False,1,1,2,permute
18,.,1,5,3.6828744411468506,True,1,1,2,permute
19,After,2,0,10.958422660827637,False,1,1,2,permute
20, the,2,1,1.653830647468567,False,1,1,2,permute
21, meeting,2,2,0.32542940974235535,False,1,1,2,permute
22,",",2,3,0.24115286767482758,True,1,1,2,permute
23, Mary,2,4,0.9064828157424927,False,1,1,2,permute
24, read,2,5,3.9737143516540527,False,1,1,2,permute
25, the,2,6,1.4268299341201782,False,1,1,2,permute
26, list,2,7,1.977333664894104,False,1,1,2,permute
27, again,2,8,2.805140495300293,False,1,1,2,permute
28,:,2,9,2.3518388271331787,True,1,1,2,permute
29, head,3,0,4.096587657928467,False,1,1,2,permute
30,",",3,1,0.1488025039434433,True,1,1,2,permute
31, leg,3,2,3.3255295753479004,False,1,1,2,permute
32,",",3,3,0.1279240995645523,True,1,1,2,permute
33, arms,3,4,1.486834168434143,False,1,1,2,permute
34,.,3,5,2.1723849773406982,True,1,1,2,permute
0,Before,0,0,nan,False,1,1,3,permute
1, the,0,1,2.551027297973633,False,1,1,3,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,permute
3,",",0,3,0.6362646222114563,True,1,1,3,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,permute
6, down,0,6,4.396554946899414,False,1,1,3,permute
7, the,0,7,1.3433159589767456,False,1,1,3,permute
8, following,0,8,4.053033351898193,False,1,1,3,permute
9, list,0,9,4.172577381134033,False,1,1,3,permute
10, of,0,10,0.18576112389564514,False,1,1,3,permute
11, words,0,11,6.043724060058594,False,1,1,3,permute
12,:,0,12,1.203829288482666,True,1,1,3,permute
13, sail,1,0,13.602953910827637,False,1,1,3,permute
14,boat,1,1,3.4578168392181396,False,1,1,3,permute
15,",",1,2,0.6844990849494934,True,1,1,3,permute
16, destroyer,1,3,7.475897789001465,False,1,1,3,permute
17,",",1,4,0.08493225276470184,True,1,1,3,permute
18, battles,1,5,5.575667858123779,False,1,1,3,permute
19,hip,1,6,0.0017610769718885422,False,1,1,3,permute
20,.,1,7,3.2532472610473633,True,1,1,3,permute
21,After,2,0,10.810928344726562,False,1,1,3,permute
22, the,2,1,1.5526975393295288,False,1,1,3,permute
23, meeting,2,2,0.310137003660202,False,1,1,3,permute
24,",",2,3,0.22224688529968262,True,1,1,3,permute
25, Mary,2,4,0.9583238959312439,False,1,1,3,permute
26, read,2,5,4.037623882293701,False,1,1,3,permute
27, the,2,6,1.347254991531372,False,1,1,3,permute
28, list,2,7,1.7521851062774658,False,1,1,3,permute
29, again,2,8,2.8165359497070312,False,1,1,3,permute
30,:,2,9,2.4043421745300293,True,1,1,3,permute
31, battles,3,0,5.267537593841553,False,1,1,3,permute
32,hip,3,1,0.00756932282820344,False,1,1,3,permute
33,",",3,2,0.182119220495224,True,1,1,3,permute
34, sail,3,3,7.789815902709961,False,1,1,3,permute
35,boat,3,4,0.12974289059638977,False,1,1,3,permute
36,",",3,5,0.09193642437458038,True,1,1,3,permute
37, destroyer,3,6,1.9454407691955566,False,1,1,3,permute
38,.,3,7,2.016664981842041,True,1,1,3,permute
0,Before,0,0,nan,False,1,1,4,permute
1, the,0,1,2.551027297973633,False,1,1,4,permute
2, meeting,0,2,5.753713607788086,False,1,1,4,permute
3,",",0,3,0.6362646222114563,True,1,1,4,permute
4, Mary,0,4,8.620794296264648,False,1,1,4,permute
5, wrote,0,5,6.034746170043945,False,1,1,4,permute
6, down,0,6,4.396554946899414,False,1,1,4,permute
7, the,0,7,1.3433159589767456,False,1,1,4,permute
8, following,0,8,4.053033351898193,False,1,1,4,permute
9, list,0,9,4.172577381134033,False,1,1,4,permute
10, of,0,10,0.18576112389564514,False,1,1,4,permute
11, words,0,11,6.043724060058594,False,1,1,4,permute
12,:,0,12,1.203829288482666,True,1,1,4,permute
13, rob,1,0,12.696722984313965,False,1,1,4,permute
14,in,1,1,2.4778268337249756,False,1,1,4,permute
