,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,control
1, the,0,1,2.551027297973633,False,1,1,3,1,control
2, meeting,0,2,5.753713607788086,False,1,1,3,1,control
3,",",0,3,0.6362646222114563,True,1,1,3,1,control
4, Mary,0,4,8.620794296264648,False,1,1,3,1,control
5, wrote,0,5,6.034746170043945,False,1,1,3,1,control
6, down,0,6,4.396554946899414,False,1,1,3,1,control
7, the,0,7,1.3433159589767456,False,1,1,3,1,control
8, following,0,8,4.053033351898193,False,1,1,3,1,control
9, list,0,9,4.172577381134033,False,1,1,3,1,control
10, of,0,10,0.18576112389564514,False,1,1,3,1,control
11, words,0,11,6.043724060058594,False,1,1,3,1,control
12,:,0,12,1.203829288482666,True,1,1,3,1,control
13, apple,1,0,11.891356468200684,False,1,1,3,1,control
14,",",1,1,0.8718227744102478,True,1,1,3,1,control
15, spirit,1,2,8.66170883178711,False,1,1,3,1,control
16,",",1,3,0.290663480758667,True,1,1,3,1,control
17, music,1,4,6.879713535308838,False,1,1,3,1,control
18,.,1,5,3.303957462310791,True,1,1,3,1,control
19,There,2,0,10.787052154541016,False,1,1,3,1,control
20, is,2,1,2.362208366394043,False,1,1,3,1,control
21, a,2,2,1.6960374116897583,False,1,1,3,1,control
22, voice,2,3,7.767238616943359,False,1,1,3,1,control
23, in,2,4,1.2912931442260742,False,1,1,3,1,control
24, the,2,5,1.3850088119506836,False,1,1,3,1,control
25, waters,2,6,8.069530487060547,False,1,1,3,1,control
26, of,2,7,2.201361656188965,False,1,1,3,1,control
27, the,2,8,1.13491690158844,False,1,1,3,1,control
28, great,2,9,6.753710746765137,False,1,1,3,1,control
29, sea,2,10,2.4456381797790527,False,1,1,3,1,control
30,.,2,11,1.7358211278915405,True,1,1,3,1,control
31, It,2,12,2.404839277267456,False,1,1,3,1,control
32, calls,2,13,3.488689422607422,False,1,1,3,1,control
