,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,repeat
1, the,0,1,2.551027297973633,False,1,1,3,1,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,1,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,1,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,1,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,1,repeat
6, down,0,6,4.396554946899414,False,1,1,3,1,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,1,repeat
8, following,0,8,4.053033351898193,False,1,1,3,1,repeat
9, list,0,9,4.172577381134033,False,1,1,3,1,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,1,repeat
11, words,0,11,6.043724060058594,False,1,1,3,1,repeat
12,:,0,12,1.203829288482666,True,1,1,3,1,repeat
13, apple,1,0,11.891356468200684,False,1,1,3,1,repeat
14,",",1,1,0.8718227744102478,True,1,1,3,1,repeat
15, spirit,1,2,8.66170883178711,False,1,1,3,1,repeat
16,",",1,3,0.290663480758667,True,1,1,3,1,repeat
17, music,1,4,6.879713535308838,False,1,1,3,1,repeat
18,.,1,5,3.303957462310791,True,1,1,3,1,repeat
19,After,2,0,10.37868881225586,False,1,1,3,1,repeat
20, a,2,1,3.2121686935424805,False,1,1,3,1,repeat
21, break,2,2,5.157242774963379,False,1,1,3,1,repeat
22,",",2,3,0.3806123733520508,True,1,1,3,1,repeat
23, a,2,4,4.525144577026367,False,1,1,3,1,repeat
24, cup,2,5,6.51890754699707,False,1,1,3,1,repeat
25, and,2,6,4.8872270584106445,False,1,1,3,1,repeat
26, coffee,2,7,4.240129470825195,False,1,1,3,1,repeat
27, of,2,8,5.312718391418457,False,1,1,3,1,repeat
28, had,2,9,11.35899829864502,False,1,1,3,1,repeat
29, she,2,10,5.608785629272461,False,1,1,3,1,repeat
30, the,2,11,6.843136787414551,False,1,1,3,1,repeat
31, took,2,12,10.409008979797363,False,1,1,3,1,repeat
32, meeting,2,13,10.250589370727539,False,1,1,3,1,repeat
33,.,2,14,1.645790934562683,True,1,1,3,1,repeat
34, When,2,15,4.660141944885254,False,1,1,3,1,repeat
35, she,2,16,1.157741904258728,False,1,1,3,1,repeat
36, got,2,17,2.926109790802002,False,1,1,3,1,repeat
37, back,2,18,1.6802195310592651,False,1,1,3,1,repeat
38,",",2,19,1.3201124668121338,True,1,1,3,1,repeat
39, she,2,20,0.627062201499939,False,1,1,3,1,repeat
40, read,2,21,4.3300089836120605,False,1,1,3,1,repeat
41, the,2,22,1.4280601739883423,False,1,1,3,1,repeat
42, list,2,23,1.5397521257400513,False,1,1,3,1,repeat
43, again,2,24,2.3607726097106934,False,1,1,3,1,repeat
44,:,2,25,3.0197389125823975,True,1,1,3,1,repeat
45, apple,3,0,1.9294110536575317,False,1,1,3,1,repeat
46,",",3,1,0.09680526703596115,True,1,1,3,1,repeat
47, spirit,3,2,0.449484258890152,False,1,1,3,1,repeat
48,",",3,3,0.034251999109983444,True,1,1,3,1,repeat
49, music,3,4,0.3128824830055237,False,1,1,3,1,repeat
50,.,3,5,0.38155773282051086,True,1,1,3,1,repeat
0,Before,0,0,nan,False,1,1,3,2,repeat
1, the,0,1,2.551027297973633,False,1,1,3,2,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,2,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,2,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,2,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,2,repeat
6, down,0,6,4.396554946899414,False,1,1,3,2,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,2,repeat
8, following,0,8,4.053033351898193,False,1,1,3,2,repeat
9, list,0,9,4.172577381134033,False,1,1,3,2,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,2,repeat
11, words,0,11,6.043724060058594,False,1,1,3,2,repeat
12,:,0,12,1.203829288482666,True,1,1,3,2,repeat
13, forest,1,0,13.109850883483887,False,1,1,3,2,repeat
14,",",1,1,0.6187539100646973,True,1,1,3,2,repeat
15, ste,1,2,7.720037460327148,False,1,1,3,2,repeat
16,amer,1,3,3.8406784534454346,False,1,1,3,2,repeat
17,",",1,4,0.08285864442586899,True,1,1,3,2,repeat
18, mixture,1,5,11.826083183288574,False,1,1,3,2,repeat
19,.,1,6,4.823881149291992,True,1,1,3,2,repeat
20,After,2,0,11.156400680541992,False,1,1,3,2,repeat
21, a,2,1,3.140869140625,False,1,1,3,2,repeat
22, break,2,2,5.275808334350586,False,1,1,3,2,repeat
23,",",2,3,0.41282859444618225,True,1,1,3,2,repeat
24, a,2,4,4.402579307556152,False,1,1,3,2,repeat
25, cup,2,5,6.6063079833984375,False,1,1,3,2,repeat
26, and,2,6,4.88388204574585,False,1,1,3,2,repeat
27, coffee,2,7,4.314101219177246,False,1,1,3,2,repeat
28, of,2,8,5.18775749206543,False,1,1,3,2,repeat
29, had,2,9,11.417566299438477,False,1,1,3,2,repeat
30, she,2,10,5.971899509429932,False,1,1,3,2,repeat
31, the,2,11,6.9183349609375,False,1,1,3,2,repeat
32, took,2,12,10.36563491821289,False,1,1,3,2,repeat
33, meeting,2,13,10.186911582946777,False,1,1,3,2,repeat
34,.,2,14,1.626401424407959,True,1,1,3,2,repeat
35, When,2,15,4.8390302658081055,False,1,1,3,2,repeat
36, she,2,16,1.2111092805862427,False,1,1,3,2,repeat
37, got,2,17,3.039533853530884,False,1,1,3,2,repeat
38, back,2,18,1.8201267719268799,False,1,1,3,2,repeat
39,",",2,19,1.3402888774871826,True,1,1,3,2,repeat
40, she,2,20,0.6675629019737244,False,1,1,3,2,repeat
41, read,2,21,4.413463592529297,False,1,1,3,2,repeat
42, the,2,22,1.4290530681610107,False,1,1,3,2,repeat
43, list,2,23,1.6133649349212646,False,1,1,3,2,repeat
44, again,2,24,2.2760257720947266,False,1,1,3,2,repeat
45,:,2,25,2.9497344493865967,True,1,1,3,2,repeat
46, forest,3,0,2.1533749103546143,False,1,1,3,2,repeat
47,",",3,1,0.0928751528263092,True,1,1,3,2,repeat
48, ste,3,2,0.32439547777175903,False,1,1,3,2,repeat
49,amer,3,3,0.006715704221278429,False,1,1,3,2,repeat
50,",",3,4,0.06805434823036194,True,1,1,3,2,repeat
51, mixture,3,5,0.31267252564430237,False,1,1,3,2,repeat
52,.,3,6,0.2303333282470703,True,1,1,3,2,repeat
0,Before,0,0,nan,False,1,1,3,3,repeat
1, the,0,1,2.551027297973633,False,1,1,3,3,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,3,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,3,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,3,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,3,repeat
6, down,0,6,4.396554946899414,False,1,1,3,3,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,3,repeat
8, following,0,8,4.053033351898193,False,1,1,3,3,repeat
9, list,0,9,4.172577381134033,False,1,1,3,3,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,3,repeat
11, words,0,11,6.043724060058594,False,1,1,3,3,repeat
12,:,0,12,1.203829288482666,True,1,1,3,3,repeat
13, cherry,1,0,12.750994682312012,False,1,1,3,3,repeat
14,",",1,1,1.0135329961776733,True,1,1,3,3,repeat
15, mistress,1,2,10.1472806930542,False,1,1,3,3,repeat
16,",",1,3,0.32650673389434814,True,1,1,3,3,repeat
17, or,1,4,5.870065212249756,False,1,1,3,3,repeat
18,chard,1,5,5.916743278503418,False,1,1,3,3,repeat
19,.,1,6,2.773179769515991,True,1,1,3,3,repeat
20,After,2,0,11.284686088562012,False,1,1,3,3,repeat
21, a,2,1,3.4589009284973145,False,1,1,3,3,repeat
22, break,2,2,5.111029148101807,False,1,1,3,3,repeat
23,",",2,3,0.4020322859287262,True,1,1,3,3,repeat
