,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,repeat
1, the,0,1,2.551027297973633,False,1,1,3,1,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,1,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,1,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,1,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,1,repeat
6, down,0,6,4.396554946899414,False,1,1,3,1,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,1,repeat
8, following,0,8,4.053033351898193,False,1,1,3,1,repeat
9, list,0,9,4.172577381134033,False,1,1,3,1,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,1,repeat
11, words,0,11,6.043724060058594,False,1,1,3,1,repeat
12,:,0,12,1.203829288482666,True,1,1,3,1,repeat
13, window,1,0,13.060759544372559,False,1,1,3,1,repeat
14,",",1,1,1.051327109336853,True,1,1,3,1,repeat
15, door,1,2,3.611264705657959,False,1,1,3,1,repeat
16,",",1,3,0.1557670384645462,True,1,1,3,1,repeat
17, roof,1,4,5.822896957397461,False,1,1,3,1,repeat
18,.,1,5,3.0585453510284424,True,1,1,3,1,repeat
19,After,2,0,11.253669738769531,False,1,1,3,1,repeat
20, the,2,1,1.7528451681137085,False,1,1,3,1,repeat
21, meeting,2,2,0.2998522222042084,False,1,1,3,1,repeat
22,",",2,3,0.2198595255613327,True,1,1,3,1,repeat
23, she,2,4,2.0622076988220215,False,1,1,3,1,repeat
24, took,2,5,3.6976542472839355,False,1,1,3,1,repeat
25, a,2,6,1.5800011157989502,False,1,1,3,1,repeat
26, break,2,7,3.1937310695648193,False,1,1,3,1,repeat
27, and,2,8,1.6881682872772217,False,1,1,3,1,repeat
28, had,2,9,4.861361026763916,False,1,1,3,1,repeat
29, a,2,10,0.8763276934623718,False,1,1,3,1,repeat
30, cup,2,11,2.8241240978240967,False,1,1,3,1,repeat
31, of,2,12,0.015571675263345242,False,1,1,3,1,repeat
32, coffee,2,13,0.648223876953125,False,1,1,3,1,repeat
33,.,2,14,0.8059980869293213,True,1,1,3,1,repeat
34, When,2,15,3.2950658798217773,False,1,1,3,1,repeat
35, she,2,16,0.6070098280906677,False,1,1,3,1,repeat
36, got,2,17,2.521207332611084,False,1,1,3,1,repeat
37, back,2,18,1.0124473571777344,False,1,1,3,1,repeat
38,",",2,19,1.404841423034668,True,1,1,3,1,repeat
39, she,2,20,0.33618131279945374,False,1,1,3,1,repeat
40, read,2,21,4.488612174987793,False,1,1,3,1,repeat
41, the,2,22,1.3839079141616821,False,1,1,3,1,repeat
42, list,2,23,1.54546320438385,False,1,1,3,1,repeat
43, again,2,24,1.6052772998809814,False,1,1,3,1,repeat
44,:,2,25,2.6506521701812744,True,1,1,3,1,repeat
45, window,3,0,1.6536604166030884,False,1,1,3,1,repeat
46,",",3,1,0.05791914835572243,True,1,1,3,1,repeat
47, door,3,2,0.19639968872070312,False,1,1,3,1,repeat
48,",",3,3,0.07316645979881287,True,1,1,3,1,repeat
49, roof,3,4,0.2914964258670807,False,1,1,3,1,repeat
50,.,3,5,0.30010291934013367,True,1,1,3,1,repeat
0,Before,0,0,nan,False,1,1,3,2,repeat
1, the,0,1,2.551027297973633,False,1,1,3,2,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,2,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,2,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,2,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,2,repeat
6, down,0,6,4.396554946899414,False,1,1,3,2,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,2,repeat
8, following,0,8,4.053033351898193,False,1,1,3,2,repeat
9, list,0,9,4.172577381134033,False,1,1,3,2,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,2,repeat
11, words,0,11,6.043724060058594,False,1,1,3,2,repeat
12,:,0,12,1.203829288482666,True,1,1,3,2,repeat
13, leg,1,0,12.7829008102417,False,1,1,3,2,repeat
14,",",1,1,1.8445065021514893,True,1,1,3,2,repeat
15, arms,1,2,6.552859306335449,False,1,1,3,2,repeat
16,",",1,3,0.1053922101855278,True,1,1,3,2,repeat
17, head,1,4,4.0981879234313965,False,1,1,3,2,repeat
18,.,1,5,3.6828744411468506,True,1,1,3,2,repeat
19,After,2,0,10.958422660827637,False,1,1,3,2,repeat
20, the,2,1,1.653830647468567,False,1,1,3,2,repeat
21, meeting,2,2,0.32542940974235535,False,1,1,3,2,repeat
22,",",2,3,0.24115286767482758,True,1,1,3,2,repeat
23, she,2,4,2.181926727294922,False,1,1,3,2,repeat
24, took,2,5,3.612339973449707,False,1,1,3,2,repeat
25, a,2,6,1.55972421169281,False,1,1,3,2,repeat
26, break,2,7,3.268913984298706,False,1,1,3,2,repeat
27, and,2,8,1.7277231216430664,False,1,1,3,2,repeat
28, had,2,9,4.871987819671631,False,1,1,3,2,repeat
29, a,2,10,0.893520712852478,False,1,1,3,2,repeat
30, cup,2,11,2.7701220512390137,False,1,1,3,2,repeat
31, of,2,12,0.020410975441336632,False,1,1,3,2,repeat
32, coffee,2,13,0.7206825613975525,False,1,1,3,2,repeat
33,.,2,14,0.799200713634491,True,1,1,3,2,repeat
34, When,2,15,3.3240256309509277,False,1,1,3,2,repeat
35, she,2,16,0.577804446220398,False,1,1,3,2,repeat
36, got,2,17,2.4611167907714844,False,1,1,3,2,repeat
37, back,2,18,1.0341594219207764,False,1,1,3,2,repeat
38,",",2,19,1.4016773700714111,True,1,1,3,2,repeat
39, she,2,20,0.34574100375175476,False,1,1,3,2,repeat
40, read,2,21,4.397492408752441,False,1,1,3,2,repeat
41, the,2,22,1.428993821144104,False,1,1,3,2,repeat
42, list,2,23,1.6105096340179443,False,1,1,3,2,repeat
43, again,2,24,1.7627984285354614,False,1,1,3,2,repeat
44,:,2,25,2.808537721633911,True,1,1,3,2,repeat
45, leg,3,0,1.947300672531128,False,1,1,3,2,repeat
46,",",3,1,0.07888258993625641,True,1,1,3,2,repeat
47, arms,3,2,0.6702567934989929,False,1,1,3,2,repeat
48,",",3,3,0.029314422979950905,True,1,1,3,2,repeat
49, head,3,4,0.15363971889019012,False,1,1,3,2,repeat
50,.,3,5,0.23549184203147888,True,1,1,3,2,repeat
0,Before,0,0,nan,False,1,1,3,3,repeat
1, the,0,1,2.551027297973633,False,1,1,3,3,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,3,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,3,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,3,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,3,repeat
6, down,0,6,4.396554946899414,False,1,1,3,3,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,3,repeat
8, following,0,8,4.053033351898193,False,1,1,3,3,repeat
9, list,0,9,4.172577381134033,False,1,1,3,3,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,3,repeat
11, words,0,11,6.043724060058594,False,1,1,3,3,repeat
12,:,0,12,1.203829288482666,True,1,1,3,3,repeat
13, sail,1,0,13.602953910827637,False,1,1,3,3,repeat
14,boat,1,1,3.4578168392181396,False,1,1,3,3,repeat
15,",",1,2,0.6844990849494934,True,1,1,3,3,repeat
16, destroyer,1,3,7.475897789001465,False,1,1,3,3,repeat
17,",",1,4,0.08493225276470184,True,1,1,3,3,repeat
18, battles,1,5,5.575667858123779,False,1,1,3,3,repeat
19,hip,1,6,0.0017610769718885422,False,1,1,3,3,repeat
20,.,1,7,3.2532472610473633,True,1,1,3,3,repeat
21,After,2,0,10.810928344726562,False,1,1,3,3,repeat
22, the,2,1,1.5526975393295288,False,1,1,3,3,repeat
23, meeting,2,2,0.310137003660202,False,1,1,3,3,repeat
24,",",2,3,0.22224688529968262,True,1,1,3,3,repeat
