,token,trialID,positionID,subtok,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,1,repeat
1, Before,0,1,1,12.528407096862793,False,1,1,3,1,repeat
2, the,0,2,2,2.4726693630218506,False,1,1,3,1,repeat
3, meeting,0,3,3,6.759095191955566,False,1,1,3,1,repeat
4,",",0,4,-1,0.9914171695709229,True,1,1,3,1,repeat
5, Mary,0,5,4,8.550304412841797,False,1,1,3,1,repeat
6, wrote,0,6,5,6.019630432128906,False,1,1,3,1,repeat
7, down,0,7,6,4.496373653411865,False,1,1,3,1,repeat
8, the,0,8,7,1.2372602224349976,False,1,1,3,1,repeat
9, following,0,9,8,4.111538410186768,False,1,1,3,1,repeat
10, lists,0,10,9,7.842437267303467,False,1,1,3,1,repeat
11, of,0,11,10,0.49632617831230164,False,1,1,3,1,repeat
12, words,0,12,11,6.3023152351379395,False,1,1,3,1,repeat
13,.,0,13,-1,2.9900951385498047,True,1,1,3,1,repeat
14, One,0,14,12,4.730581283569336,False,1,1,3,1,repeat
15, was,0,15,13,1.810640811920166,False,1,1,3,1,repeat
16,:,0,16,-1,3.6773507595062256,True,1,1,3,1,repeat
17, patience,1,0,1,10.952422142028809,False,1,1,3,1,repeat
18,",",1,1,-1,0.7535887956619263,True,1,1,3,1,repeat
19, notion,1,2,2,12.134439468383789,False,1,1,3,1,repeat
20,",",1,3,-1,0.3093867599964142,True,1,1,3,1,repeat
21, movie,1,4,3,11.8331937789917,False,1,1,3,1,repeat
22,.,1,5,-1,3.111053705215454,True,1,1,3,1,repeat
23,And,2,0,0,11.138299942016602,False,1,1,3,1,repeat
24, the,2,1,1,2.6227474212646484,False,1,1,3,1,repeat
25, other,2,2,2,1.7854970693588257,False,1,1,3,1,repeat
26,:,2,3,-1,2.9005484580993652,True,1,1,3,1,repeat
27, patience,3,0,1,3.129929542541504,False,1,1,3,1,repeat
28,",",3,1,-1,0.6896071434020996,True,1,1,3,1,repeat
29, notion,3,2,2,3.5104928016662598,False,1,1,3,1,repeat
30,",",3,3,-1,0.1541300117969513,True,1,1,3,1,repeat
31, movie,3,4,3,0.7125903367996216,False,1,1,3,1,repeat
32,.,3,5,-1,0.18348073959350586,True,1,1,3,1,repeat
33,<|endoftext|>,3,6,-2,3.365177869796753,False,1,1,3,1,repeat
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,2,repeat
1, Before,0,1,1,12.528407096862793,False,1,1,3,2,repeat
2, the,0,2,2,2.4726693630218506,False,1,1,3,2,repeat
3, meeting,0,3,3,6.759095191955566,False,1,1,3,2,repeat
4,",",0,4,-1,0.9914171695709229,True,1,1,3,2,repeat
5, Mary,0,5,4,8.550304412841797,False,1,1,3,2,repeat
6, wrote,0,6,5,6.019630432128906,False,1,1,3,2,repeat
7, down,0,7,6,4.496373653411865,False,1,1,3,2,repeat
8, the,0,8,7,1.2372602224349976,False,1,1,3,2,repeat
9, following,0,9,8,4.111538410186768,False,1,1,3,2,repeat
10, lists,0,10,9,7.842437267303467,False,1,1,3,2,repeat
11, of,0,11,10,0.49632617831230164,False,1,1,3,2,repeat
12, words,0,12,11,6.3023152351379395,False,1,1,3,2,repeat
13,.,0,13,-1,2.9900951385498047,True,1,1,3,2,repeat
14, One,0,14,12,4.730581283569336,False,1,1,3,2,repeat
15, was,0,15,13,1.810640811920166,False,1,1,3,2,repeat
16,:,0,16,-1,3.6773507595062256,True,1,1,3,2,repeat
17, pleasure,1,0,1,10.082011222839355,False,1,1,3,2,repeat
18,",",1,1,-1,0.7826864123344421,True,1,1,3,2,repeat
19, pattern,1,2,2,11.091529846191406,False,1,1,3,2,repeat
20,",",1,3,-1,0.3187127411365509,True,1,1,3,2,repeat
21, leader,1,4,3,9.899248123168945,False,1,1,3,2,repeat
22,.,1,5,-1,2.303256034851074,True,1,1,3,2,repeat
23,And,2,0,0,11.799665451049805,False,1,1,3,2,repeat
24, the,2,1,1,2.5742664337158203,False,1,1,3,2,repeat
25, other,2,2,2,1.7976077795028687,False,1,1,3,2,repeat
26,:,2,3,-1,2.792644500732422,True,1,1,3,2,repeat
27, pleasure,3,0,1,3.5295162200927734,False,1,1,3,2,repeat
28,",",3,1,-1,0.5046989917755127,True,1,1,3,2,repeat
29, pattern,3,2,2,1.938231348991394,False,1,1,3,2,repeat
30,",",3,3,-1,0.10378637164831161,True,1,1,3,2,repeat
31, leader,3,4,3,0.5343379974365234,False,1,1,3,2,repeat
32,.,3,5,-1,0.21205110847949982,True,1,1,3,2,repeat
33,<|endoftext|>,3,6,-2,3.8324480056762695,False,1,1,3,2,repeat
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,3,repeat
1, Before,0,1,1,12.528407096862793,False,1,1,3,3,repeat
2, the,0,2,2,2.4726693630218506,False,1,1,3,3,repeat
3, meeting,0,3,3,6.759095191955566,False,1,1,3,3,repeat
4,",",0,4,-1,0.9914171695709229,True,1,1,3,3,repeat
5, Mary,0,5,4,8.550304412841797,False,1,1,3,3,repeat
6, wrote,0,6,5,6.019630432128906,False,1,1,3,3,repeat
7, down,0,7,6,4.496373653411865,False,1,1,3,3,repeat
8, the,0,8,7,1.2372602224349976,False,1,1,3,3,repeat
9, following,0,9,8,4.111538410186768,False,1,1,3,3,repeat
10, lists,0,10,9,7.842437267303467,False,1,1,3,3,repeat
11, of,0,11,10,0.49632617831230164,False,1,1,3,3,repeat
12, words,0,12,11,6.3023152351379395,False,1,1,3,3,repeat
13,.,0,13,-1,2.9900951385498047,True,1,1,3,3,repeat
14, One,0,14,12,4.730581283569336,False,1,1,3,3,repeat
15, was,0,15,13,1.810640811920166,False,1,1,3,3,repeat
16,:,0,16,-1,3.6773507595062256,True,1,1,3,3,repeat
17, paper,1,0,1,12.026152610778809,False,1,1,3,3,repeat
18,",",1,1,-1,1.0014458894729614,True,1,1,3,3,repeat
19, belief,1,2,2,11.626930236816406,False,1,1,3,3,repeat
20,",",1,3,-1,0.3123165965080261,True,1,1,3,3,repeat
21, factor,1,4,3,11.210878372192383,False,1,1,3,3,repeat
22,.,1,5,-1,2.682882070541382,True,1,1,3,3,repeat
23,And,2,0,0,12.191263198852539,False,1,1,3,3,repeat
24, the,2,1,1,2.5537493228912354,False,1,1,3,3,repeat
25, other,2,2,2,1.8897428512573242,False,1,1,3,3,repeat
26,:,2,3,-1,2.996896505355835,True,1,1,3,3,repeat
27, paper,3,0,1,4.540042877197266,False,1,1,3,3,repeat
28,",",3,1,-1,0.3332788646221161,True,1,1,3,3,repeat
29, belief,3,2,2,2.297713041305542,False,1,1,3,3,repeat
30,",",3,3,-1,0.282829225063324,True,1,1,3,3,repeat
31, factor,3,4,3,0.4618726968765259,False,1,1,3,3,repeat
32,.,3,5,-1,0.22255286574363708,True,1,1,3,3,repeat
33,<|endoftext|>,3,6,-2,3.748264789581299,False,1,1,3,3,repeat
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,4,repeat
1, Before,0,1,1,12.528407096862793,False,1,1,3,4,repeat
2, the,0,2,2,2.4726693630218506,False,1,1,3,4,repeat
3, meeting,0,3,3,6.759095191955566,False,1,1,3,4,repeat
4,",",0,4,-1,0.9914171695709229,True,1,1,3,4,repeat
5, Mary,0,5,4,8.550304412841797,False,1,1,3,4,repeat
6, wrote,0,6,5,6.019630432128906,False,1,1,3,4,repeat
7, down,0,7,6,4.496373653411865,False,1,1,3,4,repeat
8, the,0,8,7,1.2372602224349976,False,1,1,3,4,repeat
9, following,0,9,8,4.111538410186768,False,1,1,3,4,repeat
10, lists,0,10,9,7.842437267303467,False,1,1,3,4,repeat
11, of,0,11,10,0.49632617831230164,False,1,1,3,4,repeat
12, words,0,12,11,6.3023152351379395,False,1,1,3,4,repeat
13,.,0,13,-1,2.9900951385498047,True,1,1,3,4,repeat
14, One,0,14,12,4.730581283569336,False,1,1,3,4,repeat
15, was,0,15,13,1.810640811920166,False,1,1,3,4,repeat
