,token,trialID,positionID,subtok,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,1,permute
1, Before,0,1,2,12.528407096862793,False,1,1,3,1,permute
2, the,0,2,3,2.4726693630218506,False,1,1,3,1,permute
3, meeting,0,3,4,6.759095191955566,False,1,1,3,1,permute
4,",",0,4,-1,0.9914171695709229,True,1,1,3,1,permute
5, Mary,0,5,5,8.550304412841797,False,1,1,3,1,permute
6, wrote,0,6,6,6.019630432128906,False,1,1,3,1,permute
7, down,0,7,7,4.496373653411865,False,1,1,3,1,permute
8, the,0,8,8,1.2372602224349976,False,1,1,3,1,permute
9, following,0,9,9,4.111538410186768,False,1,1,3,1,permute
10, lists,0,10,10,7.842437267303467,False,1,1,3,1,permute
11, of,0,11,11,0.49632617831230164,False,1,1,3,1,permute
12, words,0,12,12,6.3023152351379395,False,1,1,3,1,permute
13,.,0,13,-1,2.9900951385498047,True,1,1,3,1,permute
14, One,0,14,13,4.730581283569336,False,1,1,3,1,permute
15, was,0,15,14,1.810640811920166,False,1,1,3,1,permute
16,:,0,16,-1,3.6773507595062256,True,1,1,3,1,permute
17, patience,1,0,1,10.952422142028809,False,1,1,3,1,permute
18,",",1,1,-1,0.7535887956619263,True,1,1,3,1,permute
19, notion,1,2,2,12.134439468383789,False,1,1,3,1,permute
20,",",1,3,-1,0.3093867599964142,True,1,1,3,1,permute
21, movie,1,4,3,11.8331937789917,False,1,1,3,1,permute
22,.,1,5,-1,3.111053705215454,True,1,1,3,1,permute
23, And,2,0,1,3.9809060096740723,False,1,1,3,1,permute
24, the,2,1,2,2.1862528324127197,False,1,1,3,1,permute
25, other,2,2,3,1.0294886827468872,False,1,1,3,1,permute
26,:,2,3,-1,2.8605892658233643,True,1,1,3,1,permute
27, movie,3,0,1,8.528050422668457,False,1,1,3,1,permute
28,",",3,1,-1,2.184948444366455,True,1,1,3,1,permute
29, patience,3,2,2,5.845083713531494,False,1,1,3,1,permute
30,",",3,3,-1,0.24157913029193878,True,1,1,3,1,permute
31, notion,3,4,3,2.534799575805664,False,1,1,3,1,permute
32,.,3,5,-1,1.9208354949951172,True,1,1,3,1,permute
33,<|endoftext|>,3,6,-2,4.829313278198242,False,1,1,3,1,permute
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,2,permute
1, Before,0,1,2,12.528407096862793,False,1,1,3,2,permute
2, the,0,2,3,2.4726693630218506,False,1,1,3,2,permute
3, meeting,0,3,4,6.759095191955566,False,1,1,3,2,permute
4,",",0,4,-1,0.9914171695709229,True,1,1,3,2,permute
5, Mary,0,5,5,8.550304412841797,False,1,1,3,2,permute
6, wrote,0,6,6,6.019630432128906,False,1,1,3,2,permute
7, down,0,7,7,4.496373653411865,False,1,1,3,2,permute
