,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,permute
1, the,0,1,2.551027297973633,False,1,1,3,1,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,1,permute
3,",",0,3,0.6362646222114563,True,1,1,3,1,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,1,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,1,permute
6, down,0,6,4.396554946899414,False,1,1,3,1,permute
7, the,0,7,1.3433159589767456,False,1,1,3,1,permute
8, following,0,8,4.053033351898193,False,1,1,3,1,permute
9, list,0,9,4.172577381134033,False,1,1,3,1,permute
10, of,0,10,0.18576112389564514,False,1,1,3,1,permute
11, words,0,11,6.043724060058594,False,1,1,3,1,permute
12,:,0,12,1.203829288482666,True,1,1,3,1,permute
13, apple,1,0,11.891356468200684,False,1,1,3,1,permute
14,",",1,1,0.8718227744102478,True,1,1,3,1,permute
15, spirit,1,2,8.66170883178711,False,1,1,3,1,permute
16,",",1,3,0.290663480758667,True,1,1,3,1,permute
17, music,1,4,6.879713535308838,False,1,1,3,1,permute
18,.,1,5,3.303957462310791,True,1,1,3,1,permute
19,After,2,0,10.37868881225586,False,1,1,3,1,permute
20, the,2,1,1.6957961320877075,False,1,1,3,1,permute
21, meeting,2,2,0.28643032908439636,False,1,1,3,1,permute
22,",",2,3,0.22760611772537231,True,1,1,3,1,permute
23, she,2,4,2.1422882080078125,False,1,1,3,1,permute
24, took,2,5,3.5860817432403564,False,1,1,3,1,permute
25, a,2,6,1.5169235467910767,False,1,1,3,1,permute
26, break,2,7,2.9269590377807617,False,1,1,3,1,permute
27, and,2,8,1.8187892436981201,False,1,1,3,1,permute
28, had,2,9,4.836217880249023,False,1,1,3,1,permute
29, a,2,10,0.867457926273346,False,1,1,3,1,permute
30, cup,2,11,2.9691474437713623,False,1,1,3,1,permute
31, of,2,12,0.01418295968323946,False,1,1,3,1,permute
32, coffee,2,13,0.8137751221656799,False,1,1,3,1,permute
33,.,2,14,0.8267989754676819,True,1,1,3,1,permute
34, When,2,15,3.3069725036621094,False,1,1,3,1,permute
35, she,2,16,0.5891146063804626,False,1,1,3,1,permute
36, got,2,17,2.463374376296997,False,1,1,3,1,permute
37, back,2,18,1.0481218099594116,False,1,1,3,1,permute
38,",",2,19,1.3480288982391357,True,1,1,3,1,permute
39, she,2,20,0.32518166303634644,False,1,1,3,1,permute
40, read,2,21,4.308228015899658,False,1,1,3,1,permute
41, the,2,22,1.4409754276275635,False,1,1,3,1,permute
42, list,2,23,1.511630892753601,False,1,1,3,1,permute
43, again,2,24,1.82597017288208,False,1,1,3,1,permute
44,:,2,25,2.8309717178344727,True,1,1,3,1,permute
45, music,3,0,5.949509620666504,False,1,1,3,1,permute
46,",",3,1,0.29038721323013306,True,1,1,3,1,permute
47, apple,3,2,3.3384032249450684,False,1,1,3,1,permute
48,",",3,3,0.16928108036518097,True,1,1,3,1,permute
49, spirit,3,4,0.47857269644737244,False,1,1,3,1,permute
50,.,3,5,1.918531060218811,True,1,1,3,1,permute
0,Before,0,0,nan,False,1,1,3,2,permute
1, the,0,1,2.551027297973633,False,1,1,3,2,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,2,permute
3,",",0,3,0.6362646222114563,True,1,1,3,2,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,2,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,2,permute
6, down,0,6,4.396554946899414,False,1,1,3,2,permute
7, the,0,7,1.3433159589767456,False,1,1,3,2,permute
8, following,0,8,4.053033351898193,False,1,1,3,2,permute
9, list,0,9,4.172577381134033,False,1,1,3,2,permute
10, of,0,10,0.18576112389564514,False,1,1,3,2,permute
11, words,0,11,6.043724060058594,False,1,1,3,2,permute
12,:,0,12,1.203829288482666,True,1,1,3,2,permute
13, forest,1,0,13.109850883483887,False,1,1,3,2,permute
14,",",1,1,0.6187539100646973,True,1,1,3,2,permute
15, ste,1,2,7.720037460327148,False,1,1,3,2,permute
16,amer,1,3,3.8406784534454346,False,1,1,3,2,permute
17,",",1,4,0.08285864442586899,True,1,1,3,2,permute
18, mixture,1,5,11.826083183288574,False,1,1,3,2,permute
19,.,1,6,4.823881149291992,True,1,1,3,2,permute
20,After,2,0,11.156400680541992,False,1,1,3,2,permute
21, the,2,1,1.7228394746780396,False,1,1,3,2,permute
22, meeting,2,2,0.2986510694026947,False,1,1,3,2,permute
23,",",2,3,0.2292991280555725,True,1,1,3,2,permute
24, she,2,4,2.2101783752441406,False,1,1,3,2,permute
25, took,2,5,3.6950347423553467,False,1,1,3,2,permute
26, a,2,6,1.565246343612671,False,1,1,3,2,permute
27, break,2,7,3.0899171829223633,False,1,1,3,2,permute
28, and,2,8,1.8236021995544434,False,1,1,3,2,permute
29, had,2,9,4.892512321472168,False,1,1,3,2,permute
30, a,2,10,0.875644326210022,False,1,1,3,2,permute
31, cup,2,11,2.791727304458618,False,1,1,3,2,permute
