,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,permute
1, the,0,1,2.551027297973633,False,1,1,3,1,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,1,permute
3,",",0,3,0.6362646222114563,True,1,1,3,1,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,1,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,1,permute
6, down,0,6,4.396554946899414,False,1,1,3,1,permute
7, the,0,7,1.3433159589767456,False,1,1,3,1,permute
8, following,0,8,4.053033351898193,False,1,1,3,1,permute
9, list,0,9,4.172577381134033,False,1,1,3,1,permute
10, of,0,10,0.18576112389564514,False,1,1,3,1,permute
11, words,0,11,6.043724060058594,False,1,1,3,1,permute
12,:,0,12,1.203829288482666,True,1,1,3,1,permute
13, apple,1,0,11.891356468200684,False,1,1,3,1,permute
14,",",1,1,0.8718227744102478,True,1,1,3,1,permute
15, spirit,1,2,8.66170883178711,False,1,1,3,1,permute
16,",",1,3,0.290663480758667,True,1,1,3,1,permute
17, music,1,4,6.879713535308838,False,1,1,3,1,permute
18,.,1,5,3.303957462310791,True,1,1,3,1,permute
19,After,2,0,10.37868881225586,False,1,1,3,1,permute
20, a,2,1,3.2121686935424805,False,1,1,3,1,permute
21, break,2,2,5.157242774963379,False,1,1,3,1,permute
22,",",2,3,0.3806123733520508,True,1,1,3,1,permute
23, a,2,4,4.525144577026367,False,1,1,3,1,permute
24, cup,2,5,6.51890754699707,False,1,1,3,1,permute
25, and,2,6,4.8872270584106445,False,1,1,3,1,permute
26, coffee,2,7,4.240129470825195,False,1,1,3,1,permute
27, of,2,8,5.312718391418457,False,1,1,3,1,permute
28, had,2,9,11.35899829864502,False,1,1,3,1,permute
29, she,2,10,5.608785629272461,False,1,1,3,1,permute
30, the,2,11,6.843136787414551,False,1,1,3,1,permute
31, took,2,12,10.409008979797363,False,1,1,3,1,permute
32, meeting,2,13,10.250589370727539,False,1,1,3,1,permute
33,.,2,14,1.645790934562683,True,1,1,3,1,permute
34, When,2,15,4.660141944885254,False,1,1,3,1,permute
35, she,2,16,1.157741904258728,False,1,1,3,1,permute
36, got,2,17,2.926109790802002,False,1,1,3,1,permute
37, back,2,18,1.6802195310592651,False,1,1,3,1,permute
38,",",2,19,1.3201124668121338,True,1,1,3,1,permute
39, she,2,20,0.627062201499939,False,1,1,3,1,permute
40, read,2,21,4.3300089836120605,False,1,1,3,1,permute
41, the,2,22,1.4280601739883423,False,1,1,3,1,permute
42, list,2,23,1.5397521257400513,False,1,1,3,1,permute
43, again,2,24,2.3607726097106934,False,1,1,3,1,permute
44,:,2,25,3.0197389125823975,True,1,1,3,1,permute
45, music,3,0,6.21809196472168,False,1,1,3,1,permute
46,",",3,1,0.2687411606311798,True,1,1,3,1,permute
47, apple,3,2,3.979769229888916,False,1,1,3,1,permute
48,",",3,3,0.17683427035808563,True,1,1,3,1,permute
49, spirit,3,4,0.5710935592651367,False,1,1,3,1,permute
50,.,3,5,2.1395256519317627,True,1,1,3,1,permute
0,Before,0,0,nan,False,1,1,3,2,permute
1, the,0,1,2.551027297973633,False,1,1,3,2,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,2,permute
3,",",0,3,0.6362646222114563,True,1,1,3,2,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,2,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,2,permute
6, down,0,6,4.396554946899414,False,1,1,3,2,permute
7, the,0,7,1.3433159589767456,False,1,1,3,2,permute
8, following,0,8,4.053033351898193,False,1,1,3,2,permute
9, list,0,9,4.172577381134033,False,1,1,3,2,permute
10, of,0,10,0.18576112389564514,False,1,1,3,2,permute
11, words,0,11,6.043724060058594,False,1,1,3,2,permute
12,:,0,12,1.203829288482666,True,1,1,3,2,permute
13, forest,1,0,13.109850883483887,False,1,1,3,2,permute
14,",",1,1,0.6187539100646973,True,1,1,3,2,permute
15, ste,1,2,7.720037460327148,False,1,1,3,2,permute
16,amer,1,3,3.8406784534454346,False,1,1,3,2,permute
17,",",1,4,0.08285864442586899,True,1,1,3,2,permute
18, mixture,1,5,11.826083183288574,False,1,1,3,2,permute
19,.,1,6,4.823881149291992,True,1,1,3,2,permute
20,After,2,0,11.156400680541992,False,1,1,3,2,permute
21, a,2,1,3.140869140625,False,1,1,3,2,permute
22, break,2,2,5.275808334350586,False,1,1,3,2,permute
23,",",2,3,0.41282859444618225,True,1,1,3,2,permute
24, a,2,4,4.402579307556152,False,1,1,3,2,permute
25, cup,2,5,6.6063079833984375,False,1,1,3,2,permute
26, and,2,6,4.88388204574585,False,1,1,3,2,permute
27, coffee,2,7,4.314101219177246,False,1,1,3,2,permute
28, of,2,8,5.18775749206543,False,1,1,3,2,permute
29, had,2,9,11.417566299438477,False,1,1,3,2,permute
30, she,2,10,5.971899509429932,False,1,1,3,2,permute
31, the,2,11,6.9183349609375,False,1,1,3,2,permute
32, took,2,12,10.36563491821289,False,1,1,3,2,permute
