,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,control
1, the,0,1,2.551027297973633,False,1,1,3,1,control
2, meeting,0,2,5.753713607788086,False,1,1,3,1,control
3,",",0,3,0.6362646222114563,True,1,1,3,1,control
4, Mary,0,4,8.620794296264648,False,1,1,3,1,control
5, wrote,0,5,6.034746170043945,False,1,1,3,1,control
6, down,0,6,4.396554946899414,False,1,1,3,1,control
7, the,0,7,1.3433159589767456,False,1,1,3,1,control
8, following,0,8,4.053033351898193,False,1,1,3,1,control
9, list,0,9,4.172577381134033,False,1,1,3,1,control
10, of,0,10,0.18576112389564514,False,1,1,3,1,control
11, words,0,11,6.043724060058594,False,1,1,3,1,control
12,:,0,12,1.203829288482666,True,1,1,3,1,control
13, window,1,0,13.060759544372559,False,1,1,3,1,control
14,",",1,1,1.051327109336853,True,1,1,3,1,control
15, door,1,2,3.611264705657959,False,1,1,3,1,control
16,",",1,3,0.1557670384645462,True,1,1,3,1,control
17, roof,1,4,5.822896957397461,False,1,1,3,1,control
18,.,1,5,3.0585453510284424,True,1,1,3,1,control
19,After,2,0,11.253669738769531,False,1,1,3,1,control
20, the,2,1,1.7528451681137085,False,1,1,3,1,control
21, meeting,2,2,0.2998522222042084,False,1,1,3,1,control
22,",",2,3,0.2198595255613327,True,1,1,3,1,control
23, she,2,4,2.0622076988220215,False,1,1,3,1,control
24, took,2,5,3.6976542472839355,False,1,1,3,1,control
25, a,2,6,1.5800011157989502,False,1,1,3,1,control
26, break,2,7,3.1937310695648193,False,1,1,3,1,control
27, and,2,8,1.6881682872772217,False,1,1,3,1,control
28, had,2,9,4.861361026763916,False,1,1,3,1,control
29, a,2,10,0.8763276934623718,False,1,1,3,1,control
30, cup,2,11,2.8241240978240967,False,1,1,3,1,control
31, of,2,12,0.015571675263345242,False,1,1,3,1,control
32, coffee,2,13,0.648223876953125,False,1,1,3,1,control
