,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,repeat
1, the,0,1,2.551027297973633,False,1,1,3,1,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,1,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,1,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,1,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,1,repeat
6, down,0,6,4.396554946899414,False,1,1,3,1,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,1,repeat
8, following,0,8,4.053033351898193,False,1,1,3,1,repeat
9, list,0,9,4.172577381134033,False,1,1,3,1,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,1,repeat
11, words,0,11,6.043724060058594,False,1,1,3,1,repeat
12,:,0,12,1.203829288482666,True,1,1,3,1,repeat
13, apple,1,0,11.891356468200684,False,1,1,3,1,repeat
14,",",1,1,0.8718227744102478,True,1,1,3,1,repeat
15, spirit,1,2,8.66170883178711,False,1,1,3,1,repeat
16,",",1,3,0.290663480758667,True,1,1,3,1,repeat
17, music,1,4,6.879713535308838,False,1,1,3,1,repeat
18,.,1,5,3.303957462310791,True,1,1,3,1,repeat
19,After,2,0,10.37868881225586,False,1,1,3,1,repeat
20, the,2,1,1.6957961320877075,False,1,1,3,1,repeat
21, meeting,2,2,0.28643032908439636,False,1,1,3,1,repeat
22,",",2,3,0.22760611772537231,True,1,1,3,1,repeat
23, Mary,2,4,0.981864869594574,False,1,1,3,1,repeat
24, read,2,5,3.888315200805664,False,1,1,3,1,repeat
25, the,2,6,1.4589813947677612,False,1,1,3,1,repeat
26, list,2,7,1.6560075283050537,False,1,1,3,1,repeat
27, again,2,8,2.8630614280700684,False,1,1,3,1,repeat
28,:,2,9,2.4765710830688477,True,1,1,3,1,repeat
29, apple,3,0,1.8344066143035889,False,1,1,3,1,repeat
30,",",3,1,0.11749731749296188,True,1,1,3,1,repeat
31, spirit,3,2,0.5967796444892883,False,1,1,3,1,repeat
32,",",3,3,0.036223579198122025,True,1,1,3,1,repeat
33, music,3,4,0.24410755932331085,False,1,1,3,1,repeat
34,.,3,5,0.35648128390312195,True,1,1,3,1,repeat
0,Before,0,0,nan,False,1,1,3,2,repeat
1, the,0,1,2.551027297973633,False,1,1,3,2,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,2,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,2,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,2,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,2,repeat
6, down,0,6,4.396554946899414,False,1,1,3,2,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,2,repeat
8, following,0,8,4.053033351898193,False,1,1,3,2,repeat
9, list,0,9,4.172577381134033,False,1,1,3,2,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,2,repeat
11, words,0,11,6.043724060058594,False,1,1,3,2,repeat
12,:,0,12,1.203829288482666,True,1,1,3,2,repeat
13, forest,1,0,13.109850883483887,False,1,1,3,2,repeat
14,",",1,1,0.6187539100646973,True,1,1,3,2,repeat
15, ste,1,2,7.720037460327148,False,1,1,3,2,repeat
16,amer,1,3,3.8406784534454346,False,1,1,3,2,repeat
17,",",1,4,0.08285864442586899,True,1,1,3,2,repeat
18, mixture,1,5,11.826083183288574,False,1,1,3,2,repeat
19,.,1,6,4.823881149291992,True,1,1,3,2,repeat
20,After,2,0,11.156400680541992,False,1,1,3,2,repeat
21, the,2,1,1.7228394746780396,False,1,1,3,2,repeat
22, meeting,2,2,0.2986510694026947,False,1,1,3,2,repeat
23,",",2,3,0.2292991280555725,True,1,1,3,2,repeat
24, Mary,2,4,0.9408303499221802,False,1,1,3,2,repeat
25, read,2,5,3.9117989540100098,False,1,1,3,2,repeat
26, the,2,6,1.4463183879852295,False,1,1,3,2,repeat
27, list,2,7,1.76848304271698,False,1,1,3,2,repeat
28, again,2,8,2.5908522605895996,False,1,1,3,2,repeat
29,:,2,9,2.4504947662353516,True,1,1,3,2,repeat
30, forest,3,0,2.340571165084839,False,1,1,3,2,repeat
31,",",3,1,0.10962048172950745,True,1,1,3,2,repeat
32, ste,3,2,0.39101967215538025,False,1,1,3,2,repeat
33,amer,3,3,0.005963271949440241,False,1,1,3,2,repeat
34,",",3,4,0.07670894265174866,True,1,1,3,2,repeat
35, mixture,3,5,0.28881925344467163,False,1,1,3,2,repeat
36,.,3,6,0.16444386541843414,True,1,1,3,2,repeat
0,Before,0,0,nan,False,1,1,3,3,repeat
1, the,0,1,2.551027297973633,False,1,1,3,3,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,3,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,3,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,3,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,3,repeat
6, down,0,6,4.396554946899414,False,1,1,3,3,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,3,repeat
8, following,0,8,4.053033351898193,False,1,1,3,3,repeat
9, list,0,9,4.172577381134033,False,1,1,3,3,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,3,repeat
11, words,0,11,6.043724060058594,False,1,1,3,3,repeat
12,:,0,12,1.203829288482666,True,1,1,3,3,repeat
13, cherry,1,0,12.750994682312012,False,1,1,3,3,repeat
14,",",1,1,1.0135329961776733,True,1,1,3,3,repeat
15, mistress,1,2,10.1472806930542,False,1,1,3,3,repeat
16,",",1,3,0.32650673389434814,True,1,1,3,3,repeat
17, or,1,4,5.870065212249756,False,1,1,3,3,repeat
18,chard,1,5,5.916743278503418,False,1,1,3,3,repeat
19,.,1,6,2.773179769515991,True,1,1,3,3,repeat
20,After,2,0,11.284686088562012,False,1,1,3,3,repeat
21, the,2,1,1.5308613777160645,False,1,1,3,3,repeat
22, meeting,2,2,0.2714228630065918,False,1,1,3,3,repeat
23,",",2,3,0.27179738879203796,True,1,1,3,3,repeat
24, Mary,2,4,0.7965477108955383,False,1,1,3,3,repeat
25, read,2,5,3.905367851257324,False,1,1,3,3,repeat
26, the,2,6,1.3768616914749146,False,1,1,3,3,repeat
27, list,2,7,1.5803865194320679,False,1,1,3,3,repeat
28, again,2,8,2.962521553039551,False,1,1,3,3,repeat
29,:,2,9,2.5257248878479004,True,1,1,3,3,repeat
30, cherry,3,0,1.9530925750732422,False,1,1,3,3,repeat
31,",",3,1,0.15101854503154755,True,1,1,3,3,repeat
32, mistress,3,2,0.48643532395362854,False,1,1,3,3,repeat
33,",",3,3,0.07242605090141296,True,1,1,3,3,repeat
34, or,3,4,0.15158459544181824,False,1,1,3,3,repeat
35,chard,3,5,0.011435321532189846,False,1,1,3,3,repeat
36,.,3,6,0.3513541519641876,True,1,1,3,3,repeat
0,Before,0,0,nan,False,1,1,3,4,repeat
1, the,0,1,2.551027297973633,False,1,1,3,4,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,4,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,4,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,4,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,4,repeat
6, down,0,6,4.396554946899414,False,1,1,3,4,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,4,repeat
8, following,0,8,4.053033351898193,False,1,1,3,4,repeat
9, list,0,9,4.172577381134033,False,1,1,3,4,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,4,repeat
11, words,0,11,6.043724060058594,False,1,1,3,4,repeat
12,:,0,12,1.203829288482666,True,1,1,3,4,repeat
13, b,1,0,9.127692222595215,False,1,1,3,4,repeat
14,erry,1,1,6.887408256530762,False,1,1,3,4,repeat
15,",",1,2,0.6914334893226624,True,1,1,3,4,repeat
16, soldier,1,3,10.462579727172852,False,1,1,3,4,repeat
17,",",1,4,0.43484199047088623,True,1,1,3,4,repeat
