,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,1,repeat
2, the,0,2,2.472673177719116,False,1,1,3,1,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,1,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,1,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,1,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,1,repeat
7, down,0,7,4.496498107910156,False,1,1,3,1,repeat
8, the,0,8,1.237207055091858,False,1,1,3,1,repeat
9, following,0,9,4.111498832702637,False,1,1,3,1,repeat
10, list,0,10,4.367360591888428,False,1,1,3,1,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,1,repeat
12, words,0,12,5.889763355255127,False,1,1,3,1,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,1,repeat
14, window,1,0,12.72612190246582,False,1,1,3,1,repeat
15,",",1,1,1.0239609479904175,True,1,1,3,1,repeat
16, door,1,2,3.5542044639587402,False,1,1,3,1,repeat
17,",",1,3,0.1567920744419098,True,1,1,3,1,repeat
18, roof,1,4,5.674071311950684,False,1,1,3,1,repeat
19,.,1,5,2.9185261726379395,True,1,1,3,1,repeat
20,After,2,0,11.177639961242676,False,1,1,3,1,repeat
21, the,2,1,1.193973422050476,False,1,1,3,1,repeat
22, meeting,2,2,0.12006395310163498,False,1,1,3,1,repeat
23,",",2,3,0.11621768027544022,True,1,1,3,1,repeat
24, she,2,4,2.2992918491363525,False,1,1,3,1,repeat
25, took,2,5,3.8230113983154297,False,1,1,3,1,repeat
26, a,2,6,1.5095734596252441,False,1,1,3,1,repeat
27, break,2,7,2.988233804702759,False,1,1,3,1,repeat
28, and,2,8,1.7156734466552734,False,1,1,3,1,repeat
29, had,2,9,4.96674919128418,False,1,1,3,1,repeat
30, a,2,10,0.7844552397727966,False,1,1,3,1,repeat
31, cup,2,11,2.7072925567626953,False,1,1,3,1,repeat
32, of,2,12,0.013467060402035713,False,1,1,3,1,repeat
33, coffee,2,13,0.6002301573753357,False,1,1,3,1,repeat
34,.,2,14,0.7433087229728699,True,1,1,3,1,repeat
35, When,2,15,3.539360284805298,False,1,1,3,1,repeat
36, she,2,16,0.570585310459137,False,1,1,3,1,repeat
37, got,2,17,2.358613967895508,False,1,1,3,1,repeat
38, back,2,18,1.1041394472122192,False,1,1,3,1,repeat
39,",",2,19,1.420595645904541,True,1,1,3,1,repeat
40, she,2,20,0.3138861358165741,False,1,1,3,1,repeat
41, read,2,21,4.283670425415039,False,1,1,3,1,repeat
42, the,2,22,1.3395872116088867,False,1,1,3,1,repeat
43, list,2,23,1.2894142866134644,False,1,1,3,1,repeat
44, again,2,24,1.6768393516540527,False,1,1,3,1,repeat
45,:,2,25,2.6982405185699463,True,1,1,3,1,repeat
46, window,3,0,1.8653229475021362,False,1,1,3,1,repeat
47,",",3,1,0.056360699236392975,True,1,1,3,1,repeat
48, door,3,2,0.1634979248046875,False,1,1,3,1,repeat
49,",",3,3,0.06604718416929245,True,1,1,3,1,repeat
50, roof,3,4,0.24644050002098083,False,1,1,3,1,repeat
51,.,3,5,0.2588823139667511,True,1,1,3,1,repeat
52, ,3,6,7.310611248016357,False,1,1,3,1,repeat
53,<|endoftext|>,3,7,8.008796691894531,False,1,1,3,1,repeat
0,<|endoftext|>,0,0,nan,False,1,1,3,2,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,2,repeat
2, the,0,2,2.472673177719116,False,1,1,3,2,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,2,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,2,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,2,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,2,repeat
7, down,0,7,4.496498107910156,False,1,1,3,2,repeat
8, the,0,8,1.237207055091858,False,1,1,3,2,repeat
9, following,0,9,4.111498832702637,False,1,1,3,2,repeat
10, list,0,10,4.367360591888428,False,1,1,3,2,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,2,repeat
12, words,0,12,5.889763355255127,False,1,1,3,2,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,2,repeat
14, leg,1,0,12.512502670288086,False,1,1,3,2,repeat
15,",",1,1,1.8341835737228394,True,1,1,3,2,repeat
16, arms,1,2,6.776754379272461,False,1,1,3,2,repeat
17,",",1,3,0.10339901596307755,True,1,1,3,2,repeat
18, head,1,4,4.0295867919921875,False,1,1,3,2,repeat
19,.,1,5,3.6186184883117676,True,1,1,3,2,repeat
20,After,2,0,10.791460037231445,False,1,1,3,2,repeat
21, the,2,1,1.0915069580078125,False,1,1,3,2,repeat
22, meeting,2,2,0.11735241115093231,False,1,1,3,2,repeat
23,",",2,3,0.11078736931085587,True,1,1,3,2,repeat
24, she,2,4,2.466472625732422,False,1,1,3,2,repeat
25, took,2,5,3.8028931617736816,False,1,1,3,2,repeat
26, a,2,6,1.4670660495758057,False,1,1,3,2,repeat
27, break,2,7,3.156672477722168,False,1,1,3,2,repeat
28, and,2,8,1.7202868461608887,False,1,1,3,2,repeat
29, had,2,9,5.023214340209961,False,1,1,3,2,repeat
30, a,2,10,0.7813836932182312,False,1,1,3,2,repeat
31, cup,2,11,2.6167657375335693,False,1,1,3,2,repeat
32, of,2,12,0.016825897619128227,False,1,1,3,2,repeat
33, coffee,2,13,0.6369104981422424,False,1,1,3,2,repeat
34,.,2,14,0.7162038087844849,True,1,1,3,2,repeat
35, When,2,15,3.582080841064453,False,1,1,3,2,repeat
36, she,2,16,0.5443119406700134,False,1,1,3,2,repeat
37, got,2,17,2.3300561904907227,False,1,1,3,2,repeat
38, back,2,18,1.1117844581604004,False,1,1,3,2,repeat
39,",",2,19,1.4215946197509766,True,1,1,3,2,repeat
40, she,2,20,0.322467565536499,False,1,1,3,2,repeat
41, read,2,21,4.1938862800598145,False,1,1,3,2,repeat
42, the,2,22,1.379847764968872,False,1,1,3,2,repeat
43, list,2,23,1.322924017906189,False,1,1,3,2,repeat
