,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,repeat
1, the,0,1,2.551027297973633,False,1,1,3,1,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,1,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,1,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,1,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,1,repeat
6, down,0,6,4.396554946899414,False,1,1,3,1,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,1,repeat
8, following,0,8,4.053033351898193,False,1,1,3,1,repeat
9, list,0,9,4.172577381134033,False,1,1,3,1,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,1,repeat
11, words,0,11,6.043724060058594,False,1,1,3,1,repeat
12,:,0,12,1.203829288482666,True,1,1,3,1,repeat
13, apple,1,0,11.891356468200684,False,1,1,3,1,repeat
14,",",1,1,0.8718227744102478,True,1,1,3,1,repeat
15, spirit,1,2,8.66170883178711,False,1,1,3,1,repeat
16,",",1,3,0.290663480758667,True,1,1,3,1,repeat
17, music,1,4,6.879713535308838,False,1,1,3,1,repeat
18,.,1,5,3.303957462310791,True,1,1,3,1,repeat
19,There,2,0,10.787052154541016,False,1,1,3,1,repeat
20, is,2,1,2.362208366394043,False,1,1,3,1,repeat
21, a,2,2,1.6960374116897583,False,1,1,3,1,repeat
22, voice,2,3,7.767238616943359,False,1,1,3,1,repeat
23, in,2,4,1.2912931442260742,False,1,1,3,1,repeat
24, the,2,5,1.3850088119506836,False,1,1,3,1,repeat
25, waters,2,6,8.069530487060547,False,1,1,3,1,repeat
26, of,2,7,2.201361656188965,False,1,1,3,1,repeat
27, the,2,8,1.13491690158844,False,1,1,3,1,repeat
28, great,2,9,6.753710746765137,False,1,1,3,1,repeat
29, sea,2,10,2.4456381797790527,False,1,1,3,1,repeat
30,.,2,11,1.7358211278915405,True,1,1,3,1,repeat
31, It,2,12,2.404839277267456,False,1,1,3,1,repeat
32, calls,2,13,3.488689422607422,False,1,1,3,1,repeat
33, to,2,14,2.51511812210083,False,1,1,3,1,repeat
34, man,2,15,7.097894668579102,False,1,1,3,1,repeat
35, continually,2,16,9.439483642578125,False,1,1,3,1,repeat
36,.,2,17,2.0299434661865234,True,1,1,3,1,repeat
37, When,2,18,4.340877056121826,False,1,1,3,1,repeat
38, she,2,19,6.1667256355285645,False,1,1,3,1,repeat
39, got,2,20,7.381043434143066,False,1,1,3,1,repeat
40, back,2,21,3.441831588745117,False,1,1,3,1,repeat
41,",",2,22,1.7191171646118164,True,1,1,3,1,repeat
42, she,2,23,1.0111209154129028,False,1,1,3,1,repeat
43, read,2,24,4.753692626953125,False,1,1,3,1,repeat
44, the,2,25,1.5788893699645996,False,1,1,3,1,repeat
45, list,2,26,3.048196792602539,False,1,1,3,1,repeat
46, again,2,27,2.982595920562744,False,1,1,3,1,repeat
47,:,2,28,2.5668632984161377,True,1,1,3,1,repeat
48, apple,3,0,2.3246896266937256,False,1,1,3,1,repeat
49,",",3,1,0.10541924834251404,True,1,1,3,1,repeat
50, spirit,3,2,0.3921181261539459,False,1,1,3,1,repeat
51,",",3,3,0.05266609415411949,True,1,1,3,1,repeat
52, music,3,4,0.36195138096809387,False,1,1,3,1,repeat
53,.,3,5,0.2813008427619934,True,1,1,3,1,repeat
0,Before,0,0,nan,False,1,1,3,2,repeat
1, the,0,1,2.551027297973633,False,1,1,3,2,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,2,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,2,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,2,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,2,repeat
6, down,0,6,4.396554946899414,False,1,1,3,2,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,2,repeat
8, following,0,8,4.053033351898193,False,1,1,3,2,repeat
9, list,0,9,4.172577381134033,False,1,1,3,2,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,2,repeat
11, words,0,11,6.043724060058594,False,1,1,3,2,repeat
12,:,0,12,1.203829288482666,True,1,1,3,2,repeat
13, forest,1,0,13.109850883483887,False,1,1,3,2,repeat
14,",",1,1,0.6187539100646973,True,1,1,3,2,repeat
15, ste,1,2,7.720037460327148,False,1,1,3,2,repeat
16,amer,1,3,3.8406784534454346,False,1,1,3,2,repeat
17,",",1,4,0.08285864442586899,True,1,1,3,2,repeat
18, mixture,1,5,11.826083183288574,False,1,1,3,2,repeat
19,.,1,6,4.823881149291992,True,1,1,3,2,repeat
20,There,2,0,11.336179733276367,False,1,1,3,2,repeat
21, is,2,1,2.2033824920654297,False,1,1,3,2,repeat
22, a,2,2,1.7055912017822266,False,1,1,3,2,repeat
23, voice,2,3,8.480339050292969,False,1,1,3,2,repeat
24, in,2,4,1.2212669849395752,False,1,1,3,2,repeat
25, the,2,5,1.4071372747421265,False,1,1,3,2,repeat
26, waters,2,6,7.303739070892334,False,1,1,3,2,repeat
27, of,2,7,2.531647205352783,False,1,1,3,2,repeat
28, the,2,8,1.1125749349594116,False,1,1,3,2,repeat
29, great,2,9,6.507322311401367,False,1,1,3,2,repeat
30, sea,2,10,3.0292587280273438,False,1,1,3,2,repeat
31,.,2,11,2.0395350456237793,True,1,1,3,2,repeat
32, It,2,12,2.3182125091552734,False,1,1,3,2,repeat
33, calls,2,13,3.4142961502075195,False,1,1,3,2,repeat
34, to,2,14,2.414625644683838,False,1,1,3,2,repeat
35, man,2,15,6.997547149658203,False,1,1,3,2,repeat
36, continually,2,16,9.889469146728516,False,1,1,3,2,repeat
37,.,2,17,2.0073397159576416,True,1,1,3,2,repeat
38, When,2,18,4.451170444488525,False,1,1,3,2,repeat
39, she,2,19,6.106919288635254,False,1,1,3,2,repeat
40, got,2,20,7.309696674346924,False,1,1,3,2,repeat
41, back,2,21,3.310955762863159,False,1,1,3,2,repeat
42,",",2,22,1.6387006044387817,True,1,1,3,2,repeat
43, she,2,23,1.120479941368103,False,1,1,3,2,repeat
44, read,2,24,4.85157585144043,False,1,1,3,2,repeat
45, the,2,25,1.6205509901046753,False,1,1,3,2,repeat
46, list,2,26,2.784487247467041,False,1,1,3,2,repeat
47, again,2,27,2.9051265716552734,False,1,1,3,2,repeat
48,:,2,28,2.439120054244995,True,1,1,3,2,repeat
49, forest,3,0,2.1888155937194824,False,1,1,3,2,repeat
50,",",3,1,0.08878032118082047,True,1,1,3,2,repeat
51, ste,3,2,0.3860522210597992,False,1,1,3,2,repeat
52,amer,3,3,0.006362539250403643,False,1,1,3,2,repeat
53,",",3,4,0.08079370111227036,True,1,1,3,2,repeat
54, mixture,3,5,0.28793373703956604,False,1,1,3,2,repeat
55,.,3,6,0.24000002443790436,True,1,1,3,2,repeat
0,Before,0,0,nan,False,1,1,3,3,repeat
1, the,0,1,2.551027297973633,False,1,1,3,3,repeat
2, meeting,0,2,5.753713607788086,False,1,1,3,3,repeat
3,",",0,3,0.6362646222114563,True,1,1,3,3,repeat
4, Mary,0,4,8.620794296264648,False,1,1,3,3,repeat
5, wrote,0,5,6.034746170043945,False,1,1,3,3,repeat
6, down,0,6,4.396554946899414,False,1,1,3,3,repeat
7, the,0,7,1.3433159589767456,False,1,1,3,3,repeat
8, following,0,8,4.053033351898193,False,1,1,3,3,repeat
9, list,0,9,4.172577381134033,False,1,1,3,3,repeat
10, of,0,10,0.18576112389564514,False,1,1,3,3,repeat
11, words,0,11,6.043724060058594,False,1,1,3,3,repeat
12,:,0,12,1.203829288482666,True,1,1,3,3,repeat
13, cherry,1,0,12.750994682312012,False,1,1,3,3,repeat
14,",",1,1,1.0135329961776733,True,1,1,3,3,repeat
15, mistress,1,2,10.1472806930542,False,1,1,3,3,repeat
16,",",1,3,0.32650673389434814,True,1,1,3,3,repeat
17, or,1,4,5.870065212249756,False,1,1,3,3,repeat
