,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,control
1, Before,0,1,12.528436660766602,False,1,1,3,1,control
2, the,0,2,2.472673177719116,False,1,1,3,1,control
3, meeting,0,3,6.759090423583984,False,1,1,3,1,control
4,",",0,4,0.9914438128471375,True,1,1,3,1,control
5, Mary,0,5,8.550331115722656,False,1,1,3,1,control
6, wrote,0,6,6.019670009613037,False,1,1,3,1,control
7, down,0,7,4.496498107910156,False,1,1,3,1,control
8, the,0,8,1.237207055091858,False,1,1,3,1,control
9, following,0,9,4.111498832702637,False,1,1,3,1,control
10, list,0,10,4.367360591888428,False,1,1,3,1,control
11, of,0,11,0.1937805414199829,False,1,1,3,1,control
12, words,0,12,5.889763355255127,False,1,1,3,1,control
13,:,0,13,1.3915445804595947,True,1,1,3,1,control
14, apple,1,0,11.403657913208008,False,1,1,3,1,control
15,",",1,1,0.9844114780426025,True,1,1,3,1,control
16, spirit,1,2,8.773529052734375,False,1,1,3,1,control
17,",",1,3,0.3046078085899353,True,1,1,3,1,control
18, music,1,4,6.850928783416748,False,1,1,3,1,control
19,.,1,5,3.346791982650757,True,1,1,3,1,control
20,There,2,0,10.789997100830078,False,1,1,3,1,control
21, is,2,1,2.287491798400879,False,1,1,3,1,control
22, a,2,2,1.631437063217163,False,1,1,3,1,control
23, voice,2,3,8.041036605834961,False,1,1,3,1,control
24, in,2,4,1.210606575012207,False,1,1,3,1,control
25, the,2,5,1.472736120223999,False,1,1,3,1,control
26, waters,2,6,8.036181449890137,False,1,1,3,1,control
27, of,2,7,2.1654937267303467,False,1,1,3,1,control
28, the,2,8,1.1795291900634766,False,1,1,3,1,control
29, great,2,9,6.659727573394775,False,1,1,3,1,control
30, sea,2,10,2.4240877628326416,False,1,1,3,1,control
31,.,2,11,1.679887294769287,True,1,1,3,1,control
32, It,2,12,2.429342269897461,False,1,1,3,1,control
33, calls,2,13,3.556771755218506,False,1,1,3,1,control
34, to,2,14,2.6140730381011963,False,1,1,3,1,control
35, man,2,15,7.168944358825684,False,1,1,3,1,control
36, continually,2,16,9.461160659790039,False,1,1,3,1,control
37,.,2,17,2.0531961917877197,True,1,1,3,1,control
38, When,2,18,4.1921281814575195,False,1,1,3,1,control
39, she,2,19,6.03865909576416,False,1,1,3,1,control
40, got,2,20,7.2071123123168945,False,1,1,3,1,control
41, back,2,21,3.526793956756592,False,1,1,3,1,control
42,",",2,22,1.823377251625061,True,1,1,3,1,control
43, she,2,23,0.9937899708747864,False,1,1,3,1,control
44, read,2,24,4.713914394378662,False,1,1,3,1,control
45, the,2,25,1.5510704517364502,False,1,1,3,1,control
46, list,2,26,2.8523290157318115,False,1,1,3,1,control
47, again,2,27,3.1858620643615723,False,1,1,3,1,control
48,:,2,28,2.538266181945801,True,1,1,3,1,control
49, meeting,3,0,10.136062622070312,False,1,1,3,1,control
50,",",3,1,0.6114903092384338,True,1,1,3,1,control
51, frontier,3,2,11.355587005615234,False,1,1,3,1,control
52,",",3,3,0.1776929348707199,True,1,1,3,1,control
53, basket,3,4,9.902570724487305,False,1,1,3,1,control
54,.,3,5,3.0099754333496094,True,1,1,3,1,control
55, ,3,6,8.084551811218262,False,1,1,3,1,control
56,<|endoftext|>,3,7,9.23115062713623,False,1,1,3,1,control
0,<|endoftext|>,0,0,nan,False,1,1,3,2,control
1, Before,0,1,12.528436660766602,False,1,1,3,2,control
2, the,0,2,2.472673177719116,False,1,1,3,2,control
3, meeting,0,3,6.759090423583984,False,1,1,3,2,control
4,",",0,4,0.9914438128471375,True,1,1,3,2,control
5, Mary,0,5,8.550331115722656,False,1,1,3,2,control
6, wrote,0,6,6.019670009613037,False,1,1,3,2,control
7, down,0,7,4.496498107910156,False,1,1,3,2,control
8, the,0,8,1.237207055091858,False,1,1,3,2,control
9, following,0,9,4.111498832702637,False,1,1,3,2,control
10, list,0,10,4.367360591888428,False,1,1,3,2,control
11, of,0,11,0.1937805414199829,False,1,1,3,2,control
12, words,0,12,5.889763355255127,False,1,1,3,2,control
13,:,0,13,1.3915445804595947,True,1,1,3,2,control
14, forest,1,0,12.703496932983398,False,1,1,3,2,control
15,",",1,1,0.6536688208580017,True,1,1,3,2,control
16, ste,1,2,7.6681060791015625,False,1,1,3,2,control
17,amer,1,3,4.2089643478393555,False,1,1,3,2,control
18,",",1,4,0.08106701821088791,True,1,1,3,2,control
19, mixture,1,5,11.795127868652344,False,1,1,3,2,control
20,.,1,6,4.5869855880737305,True,1,1,3,2,control
21,There,2,0,11.134336471557617,False,1,1,3,2,control
22, is,2,1,2.1706573963165283,False,1,1,3,2,control
23, a,2,2,1.6122366189956665,False,1,1,3,2,control
24, voice,2,3,8.676338195800781,False,1,1,3,2,control
25, in,2,4,1.1608093976974487,False,1,1,3,2,control
26, the,2,5,1.518868088722229,False,1,1,3,2,control
27, waters,2,6,7.078695774078369,False,1,1,3,2,control
28, of,2,7,2.4379475116729736,False,1,1,3,2,control
29, the,2,8,1.1194871664047241,False,1,1,3,2,control
30, great,2,9,6.359773635864258,False,1,1,3,2,control
31, sea,2,10,2.8801655769348145,False,1,1,3,2,control
32,.,2,11,1.9059157371520996,True,1,1,3,2,control
33, It,2,12,2.312835216522217,False,1,1,3,2,control
34, calls,2,13,3.4219908714294434,False,1,1,3,2,control
35, to,2,14,2.4802496433258057,False,1,1,3,2,control
36, man,2,15,7.012177467346191,False,1,1,3,2,control
37, continually,2,16,9.827162742614746,False,1,1,3,2,control
38,.,2,17,2.052902936935425,True,1,1,3,2,control
39, When,2,18,4.278611660003662,False,1,1,3,2,control
40, she,2,19,6.056711196899414,False,1,1,3,2,control
41, got,2,20,7.243999004364014,False,1,1,3,2,control
42, back,2,21,3.382622718811035,False,1,1,3,2,control
43,",",2,22,1.6970374584197998,True,1,1,3,2,control
44, she,2,23,1.0996464490890503,False,1,1,3,2,control
45, read,2,24,4.82825231552124,False,1,1,3,2,control
46, the,2,25,1.5926710367202759,False,1,1,3,2,control
47, list,2,26,2.6515891551971436,False,1,1,3,2,control
48, again,2,27,3.1251590251922607,False,1,1,3,2,control
49,:,2,28,2.4031834602355957,True,1,1,3,2,control
50, highway,3,0,8.48919677734375,False,1,1,3,2,control
51,",",3,1,0.08761420845985413,True,1,1,3,2,control
52, will,3,2,8.667217254638672,False,1,1,3,2,control
53,ow,3,3,0.1199575886130333,False,1,1,3,2,control
54,",",3,4,0.17576439678668976,True,1,1,3,2,control
55, pasture,3,5,6.4120306968688965,False,1,1,3,2,control
56,.,3,6,2.440702438354492,True,1,1,3,2,control
57, ,3,7,8.97691535949707,False,1,1,3,2,control
58,<|endoftext|>,3,8,9.894379615783691,False,1,1,3,2,control
0,<|endoftext|>,0,0,nan,False,1,1,3,3,control
1, Before,0,1,12.528436660766602,False,1,1,3,3,control
2, the,0,2,2.472673177719116,False,1,1,3,3,control
3, meeting,0,3,6.759090423583984,False,1,1,3,3,control
4,",",0,4,0.9914438128471375,True,1,1,3,3,control
5, Mary,0,5,8.550331115722656,False,1,1,3,3,control
6, wrote,0,6,6.019670009613037,False,1,1,3,3,control
7, down,0,7,4.496498107910156,False,1,1,3,3,control
8, the,0,8,1.237207055091858,False,1,1,3,3,control
9, following,0,9,4.111498832702637,False,1,1,3,3,control
10, list,0,10,4.367360591888428,False,1,1,3,3,control
11, of,0,11,0.1937805414199829,False,1,1,3,3,control
12, words,0,12,5.889763355255127,False,1,1,3,3,control
13,:,0,13,1.3915445804595947,True,1,1,3,3,control
14, cherry,1,0,12.394590377807617,False,1,1,3,3,control
15,",",1,1,1.0560883283615112,True,1,1,3,3,control
16, mistress,1,2,10.509333610534668,False,1,1,3,3,control
17,",",1,3,0.3105485141277313,True,1,1,3,3,control
18, or,1,4,5.848200798034668,False,1,1,3,3,control
19,chard,1,5,6.35892915725708,False,1,1,3,3,control
20,.,1,6,2.4893245697021484,True,1,1,3,3,control
21,There,2,0,10.798420906066895,False,1,1,3,3,control
22, is,2,1,2.204458713531494,False,1,1,3,3,control
23, a,2,2,1.6677812337875366,False,1,1,3,3,control
24, voice,2,3,8.965279579162598,False,1,1,3,3,control
25, in,2,4,1.1438415050506592,False,1,1,3,3,control
26, the,2,5,1.3645501136779785,False,1,1,3,3,control
27, waters,2,6,7.853210926055908,False,1,1,3,3,control
28, of,2,7,2.1719188690185547,False,1,1,3,3,control
29, the,2,8,1.141501545906067,False,1,1,3,3,control
30, great,2,9,6.419417858123779,False,1,1,3,3,control
31, sea,2,10,2.88273286819458,False,1,1,3,3,control
32,.,2,11,2.049518585205078,True,1,1,3,3,control
33, It,2,12,2.4676058292388916,False,1,1,3,3,control
34, calls,2,13,3.2810630798339844,False,1,1,3,3,control
35, to,2,14,2.639498472213745,False,1,1,3,3,control
36, man,2,15,7.412703037261963,False,1,1,3,3,control
37, continually,2,16,9.713736534118652,False,1,1,3,3,control
38,.,2,17,2.1200480461120605,True,1,1,3,3,control
39, When,2,18,4.20035457611084,False,1,1,3,3,control
40, she,2,19,5.537100791931152,False,1,1,3,3,control
41, got,2,20,7.839704513549805,False,1,1,3,3,control
42, back,2,21,3.688758134841919,False,1,1,3,3,control
43,",",2,22,1.6999881267547607,True,1,1,3,3,control
44, she,2,23,1.2075048685073853,False,1,1,3,3,control
45, read,2,24,5.355301856994629,False,1,1,3,3,control
46, the,2,25,1.6048940420150757,False,1,1,3,3,control
47, list,2,26,3.1362464427948,False,1,1,3,3,control
48, again,2,27,3.445082426071167,False,1,1,3,3,control
49,:,2,28,2.657209873199463,True,1,1,3,3,control
50, jersey,3,0,12.646088600158691,False,1,1,3,3,control
51,",",3,1,0.19054333865642548,True,1,1,3,3,control
52, value,3,2,10.489778518676758,False,1,1,3,3,control
53,",",3,3,0.25581973791122437,True,1,1,3,3,control
54, angel,3,4,8.01677131652832,False,1,1,3,3,control
55,.,3,5,2.322108745574951,True,1,1,3,3,control
56, ,3,6,8.85437297821045,False,1,1,3,3,control
57,<|endoftext|>,3,7,9.3593168258667,False,1,1,3,3,control
0,<|endoftext|>,0,0,nan,False,1,1,3,4,control
1, Before,0,1,12.528436660766602,False,1,1,3,4,control
2, the,0,2,2.472673177719116,False,1,1,3,4,control
3, meeting,0,3,6.759090423583984,False,1,1,3,4,control
4,",",0,4,0.9914438128471375,True,1,1,3,4,control
5, Mary,0,5,8.550331115722656,False,1,1,3,4,control
6, wrote,0,6,6.019670009613037,False,1,1,3,4,control
7, down,0,7,4.496498107910156,False,1,1,3,4,control
8, the,0,8,1.237207055091858,False,1,1,3,4,control
9, following,0,9,4.111498832702637,False,1,1,3,4,control
10, list,0,10,4.367360591888428,False,1,1,3,4,control
11, of,0,11,0.1937805414199829,False,1,1,3,4,control
12, words,0,12,5.889763355255127,False,1,1,3,4,control
13,:,0,13,1.3915445804595947,True,1,1,3,4,control
14, b,1,0,8.536462783813477,False,1,1,3,4,control
15,erry,1,1,6.425922393798828,False,1,1,3,4,control
16,",",1,2,0.7648285031318665,True,1,1,3,4,control
17, soldier,1,3,10.13267993927002,False,1,1,3,4,control
18,",",1,4,0.34375232458114624,True,1,1,3,4,control
19, double,1,5,8.527353286743164,False,1,1,3,4,control
20,.,1,6,4.901477813720703,True,1,1,3,4,control
21,There,2,0,10.827423095703125,False,1,1,3,4,control
22, is,2,1,2.1285929679870605,False,1,1,3,4,control
23, a,2,2,1.5641119480133057,False,1,1,3,4,control
24, voice,2,3,9.008732795715332,False,1,1,3,4,control
25, in,2,4,1.143821120262146,False,1,1,3,4,control
26, the,2,5,1.5735232830047607,False,1,1,3,4,control
27, waters,2,6,8.224925994873047,False,1,1,3,4,control
28, of,2,7,2.162881374359131,False,1,1,3,4,control
29, the,2,8,1.260659098625183,False,1,1,3,4,control
30, great,2,9,6.481963634490967,False,1,1,3,4,control
31, sea,2,10,2.2055060863494873,False,1,1,3,4,control
32,.,2,11,1.9295941591262817,True,1,1,3,4,control
33, It,2,12,2.436721086502075,False,1,1,3,4,control
34, calls,2,13,3.32007098197937,False,1,1,3,4,control
35, to,2,14,2.589608669281006,False,1,1,3,4,control
36, man,2,15,7.029416084289551,False,1,1,3,4,control
37, continually,2,16,9.708405494689941,False,1,1,3,4,control
38,.,2,17,2.1650924682617188,True,1,1,3,4,control
39, When,2,18,4.127913475036621,False,1,1,3,4,control
40, she,2,19,6.021076202392578,False,1,1,3,4,control
41, got,2,20,7.085285663604736,False,1,1,3,4,control
42, back,2,21,3.384230613708496,False,1,1,3,4,control
43,",",2,22,1.7770562171936035,True,1,1,3,4,control
44, she,2,23,1.0371813774108887,False,1,1,3,4,control
45, read,2,24,4.839982032775879,False,1,1,3,4,control
46, the,2,25,1.5582524538040161,False,1,1,3,4,control
47, list,2,26,3.0168254375457764,False,1,1,3,4,control
48, again,2,27,3.168181896209717,False,1,1,3,4,control
49,:,2,28,2.3784375190734863,True,1,1,3,4,control
50, circuit,3,0,11.525368690490723,False,1,1,3,4,control
51,",",3,1,0.5892852544784546,True,1,1,3,4,control
52, journal,3,2,9.667484283447266,False,1,1,3,4,control
53,",",3,3,0.1448749303817749,True,1,1,3,4,control
54, quarter,3,4,7.002729415893555,False,1,1,3,4,control
55,.,3,5,2.4053235054016113,True,1,1,3,4,control
56, ,3,6,8.402606964111328,False,1,1,3,4,control
57,<|endoftext|>,3,7,9.660177230834961,False,1,1,3,4,control
0,<|endoftext|>,0,0,nan,False,1,1,3,5,control
1, Before,0,1,12.528436660766602,False,1,1,3,5,control
2, the,0,2,2.472673177719116,False,1,1,3,5,control
3, meeting,0,3,6.759090423583984,False,1,1,3,5,control
4,",",0,4,0.9914438128471375,True,1,1,3,5,control
5, Mary,0,5,8.550331115722656,False,1,1,3,5,control
6, wrote,0,6,6.019670009613037,False,1,1,3,5,control
7, down,0,7,4.496498107910156,False,1,1,3,5,control
8, the,0,8,1.237207055091858,False,1,1,3,5,control
9, following,0,9,4.111498832702637,False,1,1,3,5,control
10, list,0,10,4.367360591888428,False,1,1,3,5,control
11, of,0,11,0.1937805414199829,False,1,1,3,5,control
12, words,0,12,5.889763355255127,False,1,1,3,5,control
13,:,0,13,1.3915445804595947,True,1,1,3,5,control
14, project,1,0,11.787351608276367,False,1,1,3,5,control
15,",",1,1,1.2262762784957886,True,1,1,3,5,control
16, colour,1,2,10.151777267456055,False,1,1,3,5,control
17,",",1,3,0.14124679565429688,True,1,1,3,5,control
18, treasure,1,4,9.689817428588867,False,1,1,3,5,control
19,.,1,5,3.1462533473968506,True,1,1,3,5,control
20,There,2,0,10.812392234802246,False,1,1,3,5,control
21, is,2,1,2.142777442932129,False,1,1,3,5,control
22, a,2,2,1.5504976511001587,False,1,1,3,5,control
23, voice,2,3,8.814645767211914,False,1,1,3,5,control
24, in,2,4,1.225375771522522,False,1,1,3,5,control
25, the,2,5,1.513666033744812,False,1,1,3,5,control
26, waters,2,6,8.001336097717285,False,1,1,3,5,control
27, of,2,7,2.043713092803955,False,1,1,3,5,control
28, the,2,8,1.3766186237335205,False,1,1,3,5,control
29, great,2,9,6.5942254066467285,False,1,1,3,5,control
30, sea,2,10,2.9160399436950684,False,1,1,3,5,control
31,.,2,11,1.761024832725525,True,1,1,3,5,control
32, It,2,12,2.5230610370635986,False,1,1,3,5,control
33, calls,2,13,3.731217384338379,False,1,1,3,5,control
34, to,2,14,2.4506468772888184,False,1,1,3,5,control
35, man,2,15,7.3085174560546875,False,1,1,3,5,control
36, continually,2,16,9.827472686767578,False,1,1,3,5,control
37,.,2,17,2.3397345542907715,True,1,1,3,5,control
38, When,2,18,4.398067951202393,False,1,1,3,5,control
39, she,2,19,6.0709309577941895,False,1,1,3,5,control
40, got,2,20,7.0695624351501465,False,1,1,3,5,control
41, back,2,21,3.4816551208496094,False,1,1,3,5,control
42,",",2,22,1.8369871377944946,True,1,1,3,5,control
43, she,2,23,1.0095109939575195,False,1,1,3,5,control
44, read,2,24,4.703169822692871,False,1,1,3,5,control
45, the,2,25,1.6333539485931396,False,1,1,3,5,control
46, list,2,26,2.710150718688965,False,1,1,3,5,control
47, again,2,27,3.141792058944702,False,1,1,3,5,control
48,:,2,28,2.5246479511260986,True,1,1,3,5,control
49, story,3,0,7.039109706878662,False,1,1,3,5,control
50,",",3,1,0.13687236607074738,True,1,1,3,5,control
51, pupil,3,2,10.226054191589355,False,1,1,3,5,control
52,",",3,3,0.1008649617433548,True,1,1,3,5,control
53, princess,3,4,6.904970169067383,False,1,1,3,5,control
54,.,3,5,1.6806840896606445,True,1,1,3,5,control
55, ,3,6,8.629724502563477,False,1,1,3,5,control
56,<|endoftext|>,3,7,9.65116024017334,False,1,1,3,5,control
0,<|endoftext|>,0,0,nan,False,1,1,3,6,control
1, Before,0,1,12.528436660766602,False,1,1,3,6,control
2, the,0,2,2.472673177719116,False,1,1,3,6,control
3, meeting,0,3,6.759090423583984,False,1,1,3,6,control
4,",",0,4,0.9914438128471375,True,1,1,3,6,control
5, Mary,0,5,8.550331115722656,False,1,1,3,6,control
6, wrote,0,6,6.019670009613037,False,1,1,3,6,control
7, down,0,7,4.496498107910156,False,1,1,3,6,control
8, the,0,8,1.237207055091858,False,1,1,3,6,control
9, following,0,9,4.111498832702637,False,1,1,3,6,control
10, list,0,10,4.367360591888428,False,1,1,3,6,control
11, of,0,11,0.1937805414199829,False,1,1,3,6,control
12, words,0,12,5.889763355255127,False,1,1,3,6,control
13,:,0,13,1.3915445804595947,True,1,1,3,6,control
14, leather,1,0,13.632913589477539,False,1,1,3,6,control
15,",",1,1,0.7788641452789307,True,1,1,3,6,control
16, belief,1,2,10.665098190307617,False,1,1,3,6,control
17,",",1,3,0.40631750226020813,True,1,1,3,6,control
18, basin,1,4,13.187161445617676,False,1,1,3,6,control
19,.,1,5,3.2292566299438477,True,1,1,3,6,control
20,There,2,0,10.638407707214355,False,1,1,3,6,control
21, is,2,1,1.99294912815094,False,1,1,3,6,control
22, a,2,2,1.6303297281265259,False,1,1,3,6,control
23, voice,2,3,8.567256927490234,False,1,1,3,6,control
24, in,2,4,1.2383850812911987,False,1,1,3,6,control
