,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,control
1, Before,0,1,12.528436660766602,False,1,1,3,1,control
2, the,0,2,2.472673177719116,False,1,1,3,1,control
3, meeting,0,3,6.759090423583984,False,1,1,3,1,control
4,",",0,4,0.9914438128471375,True,1,1,3,1,control
5, Mary,0,5,8.550331115722656,False,1,1,3,1,control
6, wrote,0,6,6.019670009613037,False,1,1,3,1,control
7, down,0,7,4.496498107910156,False,1,1,3,1,control
8, the,0,8,1.237207055091858,False,1,1,3,1,control
9, following,0,9,4.111498832702637,False,1,1,3,1,control
10, list,0,10,4.367360591888428,False,1,1,3,1,control
11, of,0,11,0.1937805414199829,False,1,1,3,1,control
12, words,0,12,5.889763355255127,False,1,1,3,1,control
13,:,0,13,1.3915445804595947,True,1,1,3,1,control
14, apple,1,0,11.403657913208008,False,1,1,3,1,control
15,",",1,1,0.9844114780426025,True,1,1,3,1,control
16, spirit,1,2,8.773529052734375,False,1,1,3,1,control
17,",",1,3,0.3046078085899353,True,1,1,3,1,control
18, music,1,4,6.850928783416748,False,1,1,3,1,control
19,.,1,5,3.346791982650757,True,1,1,3,1,control
20,After,2,0,10.170475006103516,False,1,1,3,1,control
21, a,2,1,3.8809361457824707,False,1,1,3,1,control
22, break,2,2,5.010204315185547,False,1,1,3,1,control
23,",",2,3,0.3951452672481537,True,1,1,3,1,control
24, a,2,4,4.673065662384033,False,1,1,3,1,control
25, cup,2,5,5.8979949951171875,False,1,1,3,1,control
26, and,2,6,5.043321132659912,False,1,1,3,1,control
27, coffee,2,7,4.103152275085449,False,1,1,3,1,control
28, of,2,8,5.324227809906006,False,1,1,3,1,control
29, had,2,9,11.331990242004395,False,1,1,3,1,control
30, she,2,10,5.869936943054199,False,1,1,3,1,control
31, the,2,11,7.106916427612305,False,1,1,3,1,control
32, took,2,12,10.666537284851074,False,1,1,3,1,control
33, meeting,2,13,10.58393383026123,False,1,1,3,1,control
34,.,2,14,1.7399297952651978,True,1,1,3,1,control
35, When,2,15,4.85649299621582,False,1,1,3,1,control
36, she,2,16,1.0718047618865967,False,1,1,3,1,control
37, got,2,17,2.7869415283203125,False,1,1,3,1,control
38, back,2,18,1.7423502206802368,False,1,1,3,1,control
39,",",2,19,1.2957816123962402,True,1,1,3,1,control
40, she,2,20,0.5804532766342163,False,1,1,3,1,control
41, read,2,21,4.179802894592285,False,1,1,3,1,control
42, the,2,22,1.3990514278411865,False,1,1,3,1,control
43, list,2,23,1.2521408796310425,False,1,1,3,1,control
44, again,2,24,2.364144802093506,False,1,1,3,1,control
45,:,2,25,3.1127359867095947,True,1,1,3,1,control
46, meeting,3,0,9.20899772644043,False,1,1,3,1,control
47,",",3,1,0.6257240772247314,True,1,1,3,1,control
48, frontier,3,2,12.901341438293457,False,1,1,3,1,control
49,",",3,3,0.2646854817867279,True,1,1,3,1,control
50, basket,3,4,10.1165771484375,False,1,1,3,1,control
51,.,3,5,2.6051082611083984,True,1,1,3,1,control
52, ,3,6,6.701328277587891,False,1,1,3,1,control
53,<|endoftext|>,3,7,8.375438690185547,False,1,1,3,1,control
0,<|endoftext|>,0,0,nan,False,1,1,3,2,control
1, Before,0,1,12.528436660766602,False,1,1,3,2,control
2, the,0,2,2.472673177719116,False,1,1,3,2,control
3, meeting,0,3,6.759090423583984,False,1,1,3,2,control
4,",",0,4,0.9914438128471375,True,1,1,3,2,control
5, Mary,0,5,8.550331115722656,False,1,1,3,2,control
6, wrote,0,6,6.019670009613037,False,1,1,3,2,control
7, down,0,7,4.496498107910156,False,1,1,3,2,control
8, the,0,8,1.237207055091858,False,1,1,3,2,control
9, following,0,9,4.111498832702637,False,1,1,3,2,control
10, list,0,10,4.367360591888428,False,1,1,3,2,control
11, of,0,11,0.1937805414199829,False,1,1,3,2,control
12, words,0,12,5.889763355255127,False,1,1,3,2,control
13,:,0,13,1.3915445804595947,True,1,1,3,2,control
14, forest,1,0,12.703496932983398,False,1,1,3,2,control
15,",",1,1,0.6536688208580017,True,1,1,3,2,control
16, ste,1,2,7.6681060791015625,False,1,1,3,2,control
17,amer,1,3,4.2089643478393555,False,1,1,3,2,control
18,",",1,4,0.08106701821088791,True,1,1,3,2,control
19, mixture,1,5,11.795127868652344,False,1,1,3,2,control
20,.,1,6,4.5869855880737305,True,1,1,3,2,control
21,After,2,0,10.974790573120117,False,1,1,3,2,control
22, a,2,1,3.789048671722412,False,1,1,3,2,control
23, break,2,2,5.180390357971191,False,1,1,3,2,control
24,",",2,3,0.42786869406700134,True,1,1,3,2,control
25, a,2,4,4.582480430603027,False,1,1,3,2,control
26, cup,2,5,6.141647815704346,False,1,1,3,2,control
27, and,2,6,5.034865379333496,False,1,1,3,2,control
28, coffee,2,7,4.151591777801514,False,1,1,3,2,control
29, of,2,8,5.15347957611084,False,1,1,3,2,control
30, had,2,9,11.351642608642578,False,1,1,3,2,control
31, she,2,10,6.152585506439209,False,1,1,3,2,control
32, the,2,11,7.241255283355713,False,1,1,3,2,control
33, took,2,12,10.518327713012695,False,1,1,3,2,control
34, meeting,2,13,10.492166519165039,False,1,1,3,2,control
35,.,2,14,1.6342856884002686,True,1,1,3,2,control
36, When,2,15,5.028816223144531,False,1,1,3,2,control
37, she,2,16,1.1615623235702515,False,1,1,3,2,control
38, got,2,17,2.919032573699951,False,1,1,3,2,control
39, back,2,18,1.8989111185073853,False,1,1,3,2,control
40,",",2,19,1.307237148284912,True,1,1,3,2,control
41, she,2,20,0.6289063692092896,False,1,1,3,2,control
42, read,2,21,4.241855621337891,False,1,1,3,2,control
43, the,2,22,1.3902149200439453,False,1,1,3,2,control
44, list,2,23,1.3874976634979248,False,1,1,3,2,control
45, again,2,24,2.3168556690216064,False,1,1,3,2,control
46,:,2,25,3.0526885986328125,True,1,1,3,2,control
47, highway,3,0,8.864481925964355,False,1,1,3,2,control
48,",",3,1,0.09817589074373245,True,1,1,3,2,control
49, will,3,2,8.544722557067871,False,1,1,3,2,control
50,ow,3,3,0.19975334405899048,False,1,1,3,2,control
51,",",3,4,0.18830841779708862,True,1,1,3,2,control
52, pasture,3,5,6.681072235107422,False,1,1,3,2,control
53,.,3,6,2.2885076999664307,True,1,1,3,2,control
54, ,3,7,7.303001403808594,False,1,1,3,2,control
55,<|endoftext|>,3,8,9.620356559753418,False,1,1,3,2,control
0,<|endoftext|>,0,0,nan,False,1,1,3,3,control
1, Before,0,1,12.528436660766602,False,1,1,3,3,control
2, the,0,2,2.472673177719116,False,1,1,3,3,control
3, meeting,0,3,6.759090423583984,False,1,1,3,3,control
4,",",0,4,0.9914438128471375,True,1,1,3,3,control
5, Mary,0,5,8.550331115722656,False,1,1,3,3,control
6, wrote,0,6,6.019670009613037,False,1,1,3,3,control
7, down,0,7,4.496498107910156,False,1,1,3,3,control
8, the,0,8,1.237207055091858,False,1,1,3,3,control
9, following,0,9,4.111498832702637,False,1,1,3,3,control
10, list,0,10,4.367360591888428,False,1,1,3,3,control
11, of,0,11,0.1937805414199829,False,1,1,3,3,control
12, words,0,12,5.889763355255127,False,1,1,3,3,control
13,:,0,13,1.3915445804595947,True,1,1,3,3,control
14, cherry,1,0,12.394590377807617,False,1,1,3,3,control
15,",",1,1,1.0560883283615112,True,1,1,3,3,control
16, mistress,1,2,10.509333610534668,False,1,1,3,3,control
17,",",1,3,0.3105485141277313,True,1,1,3,3,control
18, or,1,4,5.848200798034668,False,1,1,3,3,control
19,chard,1,5,6.35892915725708,False,1,1,3,3,control
20,.,1,6,2.4893245697021484,True,1,1,3,3,control
21,After,2,0,10.99260425567627,False,1,1,3,3,control
22, a,2,1,3.9564309120178223,False,1,1,3,3,control
23, break,2,2,5.160147666931152,False,1,1,3,3,control
24,",",2,3,0.40612736344337463,True,1,1,3,3,control
25, a,2,4,4.5852766036987305,False,1,1,3,3,control
26, cup,2,5,6.100065231323242,False,1,1,3,3,control
27, and,2,6,4.86793851852417,False,1,1,3,3,control
28, coffee,2,7,4.3099164962768555,False,1,1,3,3,control
29, of,2,8,5.266801357269287,False,1,1,3,3,control
30, had,2,9,11.158696174621582,False,1,1,3,3,control
31, she,2,10,5.985940456390381,False,1,1,3,3,control
32, the,2,11,6.597620010375977,False,1,1,3,3,control
33, took,2,12,10.617278099060059,False,1,1,3,3,control
34, meeting,2,13,10.608147621154785,False,1,1,3,3,control
35,.,2,14,1.6949138641357422,True,1,1,3,3,control
36, When,2,15,4.909247875213623,False,1,1,3,3,control
37, she,2,16,1.26729416847229,False,1,1,3,3,control
38, got,2,17,3.044419288635254,False,1,1,3,3,control
39, back,2,18,2.0320422649383545,False,1,1,3,3,control
40,",",2,19,1.2118034362792969,True,1,1,3,3,control
41, she,2,20,0.7173627018928528,False,1,1,3,3,control
42, read,2,21,4.244560718536377,False,1,1,3,3,control
43, the,2,22,1.3162540197372437,False,1,1,3,3,control
44, list,2,23,1.4342174530029297,False,1,1,3,3,control
45, again,2,24,2.3788557052612305,False,1,1,3,3,control
46,:,2,25,3.15940260887146,True,1,1,3,3,control
47, jersey,3,0,11.965780258178711,False,1,1,3,3,control
48,",",3,1,0.23990868031978607,True,1,1,3,3,control
49, value,3,2,10.421857833862305,False,1,1,3,3,control
50,",",3,3,0.29620176553726196,True,1,1,3,3,control
51, angel,3,4,8.256282806396484,False,1,1,3,3,control
52,.,3,5,2.6105127334594727,True,1,1,3,3,control
53, ,3,6,7.648097038269043,False,1,1,3,3,control
54,<|endoftext|>,3,7,8.8699312210083,False,1,1,3,3,control
0,<|endoftext|>,0,0,nan,False,1,1,3,4,control
1, Before,0,1,12.528436660766602,False,1,1,3,4,control
2, the,0,2,2.472673177719116,False,1,1,3,4,control
3, meeting,0,3,6.759090423583984,False,1,1,3,4,control
4,",",0,4,0.9914438128471375,True,1,1,3,4,control
5, Mary,0,5,8.550331115722656,False,1,1,3,4,control
6, wrote,0,6,6.019670009613037,False,1,1,3,4,control
7, down,0,7,4.496498107910156,False,1,1,3,4,control
8, the,0,8,1.237207055091858,False,1,1,3,4,control
9, following,0,9,4.111498832702637,False,1,1,3,4,control
10, list,0,10,4.367360591888428,False,1,1,3,4,control
11, of,0,11,0.1937805414199829,False,1,1,3,4,control
12, words,0,12,5.889763355255127,False,1,1,3,4,control
13,:,0,13,1.3915445804595947,True,1,1,3,4,control
14, b,1,0,8.536462783813477,False,1,1,3,4,control
15,erry,1,1,6.425922393798828,False,1,1,3,4,control
16,",",1,2,0.7648285031318665,True,1,1,3,4,control
17, soldier,1,3,10.13267993927002,False,1,1,3,4,control
18,",",1,4,0.34375232458114624,True,1,1,3,4,control
19, double,1,5,8.527353286743164,False,1,1,3,4,control
20,.,1,6,4.901477813720703,True,1,1,3,4,control
21,After,2,0,11.016021728515625,False,1,1,3,4,control
22, a,2,1,3.7635648250579834,False,1,1,3,4,control
23, break,2,2,5.274962425231934,False,1,1,3,4,control
24,",",2,3,0.4126901924610138,True,1,1,3,4,control
25, a,2,4,4.377720355987549,False,1,1,3,4,control
26, cup,2,5,6.280526161193848,False,1,1,3,4,control
27, and,2,6,4.8214430809021,False,1,1,3,4,control
28, coffee,2,7,4.075830936431885,False,1,1,3,4,control
29, of,2,8,5.423788070678711,False,1,1,3,4,control
30, had,2,9,11.190184593200684,False,1,1,3,4,control
31, she,2,10,6.139604091644287,False,1,1,3,4,control
32, the,2,11,6.918425559997559,False,1,1,3,4,control
33, took,2,12,10.700616836547852,False,1,1,3,4,control
34, meeting,2,13,10.549842834472656,False,1,1,3,4,control
35,.,2,14,1.7083990573883057,True,1,1,3,4,control
36, When,2,15,4.913623332977295,False,1,1,3,4,control
37, she,2,16,1.1444621086120605,False,1,1,3,4,control
38, got,2,17,2.7977094650268555,False,1,1,3,4,control
39, back,2,18,1.88857901096344,False,1,1,3,4,control
40,",",2,19,1.2694861888885498,True,1,1,3,4,control
41, she,2,20,0.6421501636505127,False,1,1,3,4,control
42, read,2,21,4.179808616638184,False,1,1,3,4,control
43, the,2,22,1.37394380569458,False,1,1,3,4,control
44, list,2,23,1.4774004220962524,False,1,1,3,4,control
45, again,2,24,2.259648084640503,False,1,1,3,4,control
46,:,2,25,2.951681613922119,True,1,1,3,4,control
47, circuit,3,0,11.775636672973633,False,1,1,3,4,control
48,",",3,1,1.0059841871261597,True,1,1,3,4,control
49, journal,3,2,9.549346923828125,False,1,1,3,4,control
50,",",3,3,0.13530497252941132,True,1,1,3,4,control
51, quarter,3,4,7.549029350280762,False,1,1,3,4,control
52,.,3,5,3.0552690029144287,True,1,1,3,4,control
53, ,3,6,7.200209617614746,False,1,1,3,4,control
54,<|endoftext|>,3,7,9.005517959594727,False,1,1,3,4,control
0,<|endoftext|>,0,0,nan,False,1,1,3,5,control
1, Before,0,1,12.528436660766602,False,1,1,3,5,control
2, the,0,2,2.472673177719116,False,1,1,3,5,control
3, meeting,0,3,6.759090423583984,False,1,1,3,5,control
4,",",0,4,0.9914438128471375,True,1,1,3,5,control
5, Mary,0,5,8.550331115722656,False,1,1,3,5,control
6, wrote,0,6,6.019670009613037,False,1,1,3,5,control
7, down,0,7,4.496498107910156,False,1,1,3,5,control
8, the,0,8,1.237207055091858,False,1,1,3,5,control
9, following,0,9,4.111498832702637,False,1,1,3,5,control
10, list,0,10,4.367360591888428,False,1,1,3,5,control
11, of,0,11,0.1937805414199829,False,1,1,3,5,control
12, words,0,12,5.889763355255127,False,1,1,3,5,control
13,:,0,13,1.3915445804595947,True,1,1,3,5,control
14, project,1,0,11.787351608276367,False,1,1,3,5,control
15,",",1,1,1.2262762784957886,True,1,1,3,5,control
16, colour,1,2,10.151777267456055,False,1,1,3,5,control
17,",",1,3,0.14124679565429688,True,1,1,3,5,control
18, treasure,1,4,9.689817428588867,False,1,1,3,5,control
19,.,1,5,3.1462533473968506,True,1,1,3,5,control
20,After,2,0,10.455000877380371,False,1,1,3,5,control
21, a,2,1,3.70084547996521,False,1,1,3,5,control
22, break,2,2,5.086903095245361,False,1,1,3,5,control
23,",",2,3,0.4154115617275238,True,1,1,3,5,control
24, a,2,4,4.523880481719971,False,1,1,3,5,control
25, cup,2,5,6.156573295593262,False,1,1,3,5,control
26, and,2,6,5.061502933502197,False,1,1,3,5,control
27, coffee,2,7,3.8845160007476807,False,1,1,3,5,control
28, of,2,8,5.370121955871582,False,1,1,3,5,control
29, had,2,9,11.405359268188477,False,1,1,3,5,control
30, she,2,10,5.6648783683776855,False,1,1,3,5,control
31, the,2,11,7.201846122741699,False,1,1,3,5,control
32, took,2,12,11.113236427307129,False,1,1,3,5,control
33, meeting,2,13,10.405132293701172,False,1,1,3,5,control
34,.,2,14,1.7864441871643066,True,1,1,3,5,control
35, When,2,15,5.134274959564209,False,1,1,3,5,control
36, she,2,16,1.0925319194793701,False,1,1,3,5,control
37, got,2,17,2.87550687789917,False,1,1,3,5,control
38, back,2,18,1.857520341873169,False,1,1,3,5,control
39,",",2,19,1.336216688156128,True,1,1,3,5,control
40, she,2,20,0.6067160964012146,False,1,1,3,5,control
41, read,2,21,4.262022018432617,False,1,1,3,5,control
42, the,2,22,1.4489374160766602,False,1,1,3,5,control
43, list,2,23,1.3856091499328613,False,1,1,3,5,control
44, again,2,24,2.3044118881225586,False,1,1,3,5,control
45,:,2,25,3.1725499629974365,True,1,1,3,5,control
46, story,3,0,7.048187255859375,False,1,1,3,5,control
47,",",3,1,0.189242422580719,True,1,1,3,5,control
48, pupil,3,2,10.38041877746582,False,1,1,3,5,control
49,",",3,3,0.116823710501194,True,1,1,3,5,control
50, princess,3,4,7.092459678649902,False,1,1,3,5,control
51,.,3,5,1.7135059833526611,True,1,1,3,5,control
52, ,3,6,7.424639701843262,False,1,1,3,5,control
53,<|endoftext|>,3,7,9.310559272766113,False,1,1,3,5,control
0,<|endoftext|>,0,0,nan,False,1,1,3,6,control
1, Before,0,1,12.528436660766602,False,1,1,3,6,control
2, the,0,2,2.472673177719116,False,1,1,3,6,control
3, meeting,0,3,6.759090423583984,False,1,1,3,6,control
4,",",0,4,0.9914438128471375,True,1,1,3,6,control
5, Mary,0,5,8.550331115722656,False,1,1,3,6,control
6, wrote,0,6,6.019670009613037,False,1,1,3,6,control
7, down,0,7,4.496498107910156,False,1,1,3,6,control
8, the,0,8,1.237207055091858,False,1,1,3,6,control
9, following,0,9,4.111498832702637,False,1,1,3,6,control
10, list,0,10,4.367360591888428,False,1,1,3,6,control
11, of,0,11,0.1937805414199829,False,1,1,3,6,control
12, words,0,12,5.889763355255127,False,1,1,3,6,control
13,:,0,13,1.3915445804595947,True,1,1,3,6,control
14, leather,1,0,13.632913589477539,False,1,1,3,6,control
15,",",1,1,0.7788641452789307,True,1,1,3,6,control
16, belief,1,2,10.665098190307617,False,1,1,3,6,control
17,",",1,3,0.40631750226020813,True,1,1,3,6,control
18, basin,1,4,13.187161445617676,False,1,1,3,6,control
19,.,1,5,3.2292566299438477,True,1,1,3,6,control
20,After,2,0,10.666850090026855,False,1,1,3,6,control
21, a,2,1,3.8854637145996094,False,1,1,3,6,control
22, break,2,2,5.076361656188965,False,1,1,3,6,control
23,",",2,3,0.4144647717475891,True,1,1,3,6,control
24, a,2,4,4.59074592590332,False,1,1,3,6,control
25, cup,2,5,5.817132472991943,False,1,1,3,6,control
26, and,2,6,4.500267028808594,False,1,1,3,6,control
27, coffee,2,7,4.09359884262085,False,1,1,3,6,control
28, of,2,8,5.3968024253845215,False,1,1,3,6,control
29, had,2,9,11.331214904785156,False,1,1,3,6,control
30, she,2,10,5.919488906860352,False,1,1,3,6,control
31, the,2,11,7.114998817443848,False,1,1,3,6,control
32, took,2,12,10.396251678466797,False,1,1,3,6,control
33, meeting,2,13,10.47024917602539,False,1,1,3,6,control
34,.,2,14,1.7133617401123047,True,1,1,3,6,control
35, When,2,15,5.000577926635742,False,1,1,3,6,control
36, she,2,16,1.1679340600967407,False,1,1,3,6,control
37, got,2,17,2.9829256534576416,False,1,1,3,6,control
38, back,2,18,1.910239338874817,False,1,1,3,6,control
39,",",2,19,1.3336372375488281,True,1,1,3,6,control
40, she,2,20,0.6490809321403503,False,1,1,3,6,control
