,token,trialID,positionID,subtok,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,1,repeat
1, Before,0,1,1,12.528407096862793,False,1,1,3,1,repeat
2, the,0,2,2,2.4726693630218506,False,1,1,3,1,repeat
3, meeting,0,3,3,6.759095191955566,False,1,1,3,1,repeat
4,",",0,4,-1,0.9914171695709229,True,1,1,3,1,repeat
5, Mary,0,5,4,8.550304412841797,False,1,1,3,1,repeat
6, wrote,0,6,5,6.019630432128906,False,1,1,3,1,repeat
7, down,0,7,6,4.496373653411865,False,1,1,3,1,repeat
8, the,0,8,7,1.2372602224349976,False,1,1,3,1,repeat
9, following,0,9,8,4.111538410186768,False,1,1,3,1,repeat
10, lists,0,10,9,7.842437267303467,False,1,1,3,1,repeat
11, of,0,11,10,0.49632617831230164,False,1,1,3,1,repeat
12, words,0,12,11,6.3023152351379395,False,1,1,3,1,repeat
13,.,0,13,-1,2.9900951385498047,True,1,1,3,1,repeat
14, One,0,14,12,4.730581283569336,False,1,1,3,1,repeat
15, was,0,15,13,1.810640811920166,False,1,1,3,1,repeat
16,:,0,16,-1,3.6773507595062256,True,1,1,3,1,repeat
17, window,1,0,1,12.287196159362793,False,1,1,3,1,repeat
18,",",1,1,-1,1.2555721998214722,True,1,1,3,1,repeat
19, door,1,2,2,2.9531636238098145,False,1,1,3,1,repeat
20,",",1,3,-1,0.18340660631656647,True,1,1,3,1,repeat
21, roof,1,4,3,5.551798343658447,False,1,1,3,1,repeat
22,.,1,5,-1,2.315265655517578,True,1,1,3,1,repeat
23,And,2,0,0,11.711668968200684,False,1,1,3,1,repeat
24, the,2,1,1,2.5125839710235596,False,1,1,3,1,repeat
25, other,2,2,2,1.9872483015060425,False,1,1,3,1,repeat
26,:,2,3,-1,2.7311062812805176,True,1,1,3,1,repeat
27, window,3,0,1,3.381098747253418,False,1,1,3,1,repeat
28,",",3,1,-1,0.37926509976387024,True,1,1,3,1,repeat
29, door,3,2,2,0.42198359966278076,False,1,1,3,1,repeat
30,",",3,3,-1,0.08681873232126236,True,1,1,3,1,repeat
31, roof,3,4,3,0.3610703647136688,False,1,1,3,1,repeat
32,.,3,5,-1,0.44244587421417236,True,1,1,3,1,repeat
33,<|endoftext|>,3,6,-2,4.057624340057373,False,1,1,3,1,repeat
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,2,repeat
1, Before,0,1,1,12.528407096862793,False,1,1,3,2,repeat
2, the,0,2,2,2.4726693630218506,False,1,1,3,2,repeat
3, meeting,0,3,3,6.759095191955566,False,1,1,3,2,repeat
4,",",0,4,-1,0.9914171695709229,True,1,1,3,2,repeat
5, Mary,0,5,4,8.550304412841797,False,1,1,3,2,repeat
6, wrote,0,6,5,6.019630432128906,False,1,1,3,2,repeat
7, down,0,7,6,4.496373653411865,False,1,1,3,2,repeat
8, the,0,8,7,1.2372602224349976,False,1,1,3,2,repeat
9, following,0,9,8,4.111538410186768,False,1,1,3,2,repeat
10, lists,0,10,9,7.842437267303467,False,1,1,3,2,repeat
11, of,0,11,10,0.49632617831230164,False,1,1,3,2,repeat
12, words,0,12,11,6.3023152351379395,False,1,1,3,2,repeat
13,.,0,13,-1,2.9900951385498047,True,1,1,3,2,repeat
14, One,0,14,12,4.730581283569336,False,1,1,3,2,repeat
15, was,0,15,13,1.810640811920166,False,1,1,3,2,repeat
16,:,0,16,-1,3.6773507595062256,True,1,1,3,2,repeat
17, leg,1,0,1,12.12979793548584,False,1,1,3,2,repeat
18,",",1,1,-1,1.8050692081451416,True,1,1,3,2,repeat
19, arms,1,2,2,6.242254257202148,False,1,1,3,2,repeat
20,",",1,3,-1,0.16209939122200012,True,1,1,3,2,repeat
21, head,1,4,3,3.8700993061065674,False,1,1,3,2,repeat
22,.,1,5,-1,3.1499507427215576,True,1,1,3,2,repeat
23,And,2,0,0,11.64608097076416,False,1,1,3,2,repeat
24, the,2,1,1,2.471035957336426,False,1,1,3,2,repeat
25, other,2,2,2,1.8442708253860474,False,1,1,3,2,repeat
26,:,2,3,-1,2.920332431793213,True,1,1,3,2,repeat
27, leg,3,0,1,3.1564197540283203,False,1,1,3,2,repeat
28,",",3,1,-1,0.29126864671707153,True,1,1,3,2,repeat
29, arms,3,2,2,1.3561558723449707,False,1,1,3,2,repeat
30,",",3,3,-1,0.07274677604436874,True,1,1,3,2,repeat
31, head,3,4,3,0.4795922636985779,False,1,1,3,2,repeat
32,.,3,5,-1,0.3935607075691223,True,1,1,3,2,repeat
33,<|endoftext|>,3,6,-2,4.210229873657227,False,1,1,3,2,repeat
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,3,repeat
1, Before,0,1,1,12.528407096862793,False,1,1,3,3,repeat
2, the,0,2,2,2.4726693630218506,False,1,1,3,3,repeat
3, meeting,0,3,3,6.759095191955566,False,1,1,3,3,repeat
4,",",0,4,-1,0.9914171695709229,True,1,1,3,3,repeat
5, Mary,0,5,4,8.550304412841797,False,1,1,3,3,repeat
6, wrote,0,6,5,6.019630432128906,False,1,1,3,3,repeat
7, down,0,7,6,4.496373653411865,False,1,1,3,3,repeat
8, the,0,8,7,1.2372602224349976,False,1,1,3,3,repeat
9, following,0,9,8,4.111538410186768,False,1,1,3,3,repeat
10, lists,0,10,9,7.842437267303467,False,1,1,3,3,repeat
11, of,0,11,10,0.49632617831230164,False,1,1,3,3,repeat
12, words,0,12,11,6.3023152351379395,False,1,1,3,3,repeat
13,.,0,13,-1,2.9900951385498047,True,1,1,3,3,repeat
14, One,0,14,12,4.730581283569336,False,1,1,3,3,repeat
15, was,0,15,13,1.810640811920166,False,1,1,3,3,repeat
16,:,0,16,-1,3.6773507595062256,True,1,1,3,3,repeat
17, sail,1,0,1,12.76554012298584,False,1,1,3,3,repeat
18,boat,1,1,1,3.59622859954834,False,1,1,3,3,repeat
19,",",1,2,-1,0.9478244781494141,True,1,1,3,3,repeat
20, destroyer,1,3,2,7.676912307739258,False,1,1,3,3,repeat
21,",",1,4,-1,0.2032109647989273,True,1,1,3,3,repeat
22, battles,1,5,3,5.634990215301514,False,1,1,3,3,repeat
23,hip,1,6,3,0.0023068978916853666,False,1,1,3,3,repeat
24,.,1,7,-1,2.4307327270507812,True,1,1,3,3,repeat
25,And,2,0,0,11.872625350952148,False,1,1,3,3,repeat
26, the,2,1,1,2.3374388217926025,False,1,1,3,3,repeat
27, other,2,2,2,1.302384376525879,False,1,1,3,3,repeat
28,:,2,3,-1,3.037268877029419,True,1,1,3,3,repeat
29, sail,3,0,1,5.1382341384887695,False,1,1,3,3,repeat
30,boat,3,1,1,0.3113018274307251,False,1,1,3,3,repeat
31,",",3,2,-1,0.23557604849338531,True,1,1,3,3,repeat
32, destroyer,3,3,2,0.5994991064071655,False,1,1,3,3,repeat
33,",",3,4,-1,0.10685847699642181,True,1,1,3,3,repeat
34, battles,3,5,3,0.34697389602661133,False,1,1,3,3,repeat
35,hip,3,6,3,0.0012425805907696486,False,1,1,3,3,repeat
36,.,3,7,-1,0.378198504447937,True,1,1,3,3,repeat
37,<|endoftext|>,3,8,-2,3.899807929992676,False,1,1,3,3,repeat
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,4,repeat
1, Before,0,1,1,12.528407096862793,False,1,1,3,4,repeat
2, the,0,2,2,2.4726693630218506,False,1,1,3,4,repeat
3, meeting,0,3,3,6.759095191955566,False,1,1,3,4,repeat
4,",",0,4,-1,0.9914171695709229,True,1,1,3,4,repeat
5, Mary,0,5,4,8.550304412841797,False,1,1,3,4,repeat
6, wrote,0,6,5,6.019630432128906,False,1,1,3,4,repeat
7, down,0,7,6,4.496373653411865,False,1,1,3,4,repeat
8, the,0,8,7,1.2372602224349976,False,1,1,3,4,repeat
9, following,0,9,8,4.111538410186768,False,1,1,3,4,repeat
10, lists,0,10,9,7.842437267303467,False,1,1,3,4,repeat
11, of,0,11,10,0.49632617831230164,False,1,1,3,4,repeat
